Date,Open,High,Low,Close,Adj Close,Volume
2020-07-13,4.61,4.92,4.48,4.9,4.9,28340
2020-07-14,4.91,5.23,4.76,4.99,4.99,3957
2020-09-22,4.99,11.46,4.13,5.23,5.23,288098840
2020-09-23,5.32,5.33,3.98,4.12,4.12,173091214
2020-09-24,3.82,4.75,3.54,4.57,4.57,96110964
2020-09-25,4.61,4.96,4.24,4.71,4.71,55854397
2020-09-26,4.71,4.82,4.38,4.54,4.54,27304546
2020-09-27,4.54,4.7,4.14,4.63,4.63,23243192
2020-09-28,4.64,4.64,4.2,4.2,4.2,20624310
2020-09-29,4.21,4.28,3.97,4.14,4.14,16706917
2020-09-30,4.14,4.39,4.02,4.32,4.32,16932876
2020-10-01,4.32,4.49,4.06,4.15,4.15,23903201
2020-10-02,4.15,4.21,3.69,3.93,3.93,30467406
2020-10-03,3.93,4.17,3.88,4.02,4.02,11967394
2020-10-04,4.02,4.07,3.86,3.96,3.96,12949575
2020-10-05,3.96,4.04,3.89,3.98,3.98,8980051
2020-10-06,3.98,3.98,3.52,3.54,3.54,15048998
2020-10-07,3.54,3.54,3.23,3.45,3.45,15674566
2020-10-08,3.45,3.93,3.34,3.9,3.9,15215458
2020-10-09,3.91,4.28,3.82,4.24,4.24,13043373
2020-10-10,4.24,4.25,4.02,4.03,4.03,14539711
2020-10-11,4.02,4.16,3.97,4.1,4.1,11454885
2020-10-12,4.09,4.69,4.05,4.42,4.42,14445437
2020-10-13,4.41,4.54,4.33,4.49,4.49,14050398
2020-10-14,4.48,4.49,4.02,4.15,4.15,10004481
2020-10-15,4.15,4.21,4.02,4.13,4.13,6998970
2020-10-16,4.13,4.16,3.89,4.04,4.04,9790610
2020-10-17,4.04,4.2,3.98,4.2,4.2,6113717
2020-10-18,4.19,4.25,4.08,4.12,4.12,3717531
2020-10-19,4.12,4.16,4.0,4.05,4.05,5848392
2020-10-20,4.05,4.08,3.71,3.8,3.8,19646467
2020-10-21,3.8,4.11,3.79,3.97,3.97,23475819
2020-10-22,3.97,4.5,3.96,4.31,4.31,24178361
2020-10-23,4.33,4.49,4.15,4.26,4.26,19482074
2020-10-24,4.26,4.35,4.16,4.19,4.19,16681037
2020-10-25,4.19,4.26,4.11,4.15,4.15,15517939
2020-10-26,4.15,4.48,4.05,4.16,4.16,9243755
2020-10-27,4.16,4.35,4.04,4.12,4.12,17600881
2020-10-28,4.12,4.18,3.94,4.07,4.07,19435211
2020-10-29,4.07,4.11,3.73,3.78,3.78,6527859
2020-10-30,3.78,3.82,3.58,3.71,3.71,28434550
2020-10-31,3.71,3.74,3.59,3.65,3.65,20452535
2020-11-01,3.65,3.72,3.56,3.68,3.68,15953277
2020-11-02,3.68,3.85,3.61,3.62,3.62,20039697
2020-11-03,3.62,3.66,3.24,3.33,3.33,24573095
2020-11-04,3.33,3.38,3.0,3.18,3.18,20709819
2020-11-05,3.18,3.38,3.02,3.36,3.36,26135754
2020-11-06,3.36,3.65,3.32,3.6,3.6,33947029
2020-11-07,3.6,3.91,3.38,3.4,3.4,34653203
2020-11-08,3.4,3.65,3.37,3.48,3.48,26072941
2020-11-09,3.48,3.54,3.27,3.42,3.42,25509378
2020-11-10,3.42,3.64,3.37,3.59,3.59,24316551
2020-11-11,3.59,3.81,3.46,3.48,3.48,24727644
2020-11-12,3.48,3.56,3.32,3.43,3.43,25090677
2020-11-13,3.43,3.7,3.39,3.7,3.7,27584233
2020-11-14,3.7,3.7,3.4,3.5,3.5,24359587
2020-11-15,3.5,3.64,3.42,3.54,3.54,22702610
2020-11-16,3.54,3.82,3.46,3.72,3.72,27372174
2020-11-17,3.79,3.92,3.7,3.83,3.83,23031677
2020-11-18,3.83,3.87,3.58,3.75,3.75,20818649
2020-11-19,3.75,3.82,3.57,3.63,3.63,21489339
2020-11-20,3.63,3.99,3.62,3.71,3.71,27416995
2020-11-21,3.71,4.08,3.69,4.0,4.0,25984283
2020-11-22,4.0,4.06,3.72,3.89,3.89,25963010
2020-11-23,3.89,4.25,3.85,4.07,4.07,9013817
2020-11-24,4.07,4.33,3.87,4.27,4.27,30722083
2020-11-25,4.27,4.4,3.93,4.05,4.05,28505942
2020-11-26,4.05,4.08,3.3,3.53,3.53,35408249
2020-11-27,3.53,3.76,3.43,3.59,3.59,6023810
2020-11-28,3.59,3.7,3.48,3.62,3.62,17509244
2020-11-29,3.62,3.77,3.53,3.7,3.7,3901221
2020-11-30,3.7,3.81,3.65,3.69,3.69,21457284
2020-12-01,3.69,3.82,3.49,3.58,3.58,24719236
2020-12-02,3.58,3.84,3.53,3.73,3.73,5085526
2020-12-03,3.74,3.89,3.72,3.82,3.82,21038215
2020-12-04,3.82,3.86,3.52,3.55,3.55,23754809
2020-12-05,3.54,3.71,3.51,3.62,3.62,21215020
2020-12-06,3.62,3.68,3.51,3.6,3.6,20224612
2020-12-07,3.6,3.61,3.33,3.39,3.39,16909346
2020-12-08,3.39,3.39,3.1,3.11,3.11,23027417
2020-12-09,3.11,3.4,2.81,3.26,3.26,28583037
2020-12-10,3.26,3.35,3.07,3.15,3.15,29252855
2020-12-11,3.15,3.31,3.01,3.24,3.24,29224480
2020-12-12,3.23,3.45,3.23,3.33,3.33,24630224
2020-12-13,3.33,3.41,3.29,3.33,3.33,20722255
2020-12-14,3.33,3.34,3.14,3.14,3.14,27242747
2020-12-15,3.14,3.38,3.06,3.3,3.3,18320578
2020-12-16,3.3,3.37,3.15,3.34,3.34,21054734
2020-12-17,3.34,3.38,3.18,3.21,3.21,10227874
2020-12-18,3.21,3.47,3.14,3.4,3.4,23107656
2020-12-19,3.41,3.61,3.38,3.47,3.47,19919598
2020-12-20,3.47,3.5,3.29,3.31,3.31,18750351
2020-12-21,3.31,3.35,3.03,3.1,3.1,25892571
2020-12-22,3.09,3.13,2.92,3.08,3.08,23991868
2020-12-23,3.08,3.62,2.8,2.92,2.92,50329367
2020-12-24,2.93,3.11,2.79,3.1,3.1,29820498
2020-12-25,3.1,3.13,2.86,2.95,2.95,26360909
2020-12-26,2.96,2.99,2.85,2.92,2.92,21332105
2020-12-27,2.92,3.05,2.85,2.91,2.91,24533711
2020-12-28,2.91,3.05,2.87,2.95,2.95,27088075
2020-12-29,2.95,3.01,2.84,2.92,2.92,25386162
2020-12-30,2.93,2.94,2.83,2.92,2.92,17031663
2020-12-31,2.92,3.19,2.79,3.14,3.14,18953615
2021-01-01,3.15,3.87,3.05,3.66,3.66,81260736
2021-01-02,3.66,3.94,3.3,3.49,3.49,50081958
2021-01-03,3.49,3.83,3.4,3.47,3.47,36997985
2021-01-04,3.47,3.83,3.25,3.59,3.59,39414734
2021-01-05,3.59,4.34,3.49,4.24,4.24,69735075
2021-01-06,4.23,4.97,4.16,4.62,4.62,77632627
2021-01-07,4.61,4.81,4.35,4.48,4.48,53715138
2021-01-08,4.48,5.81,4.05,5.8,5.8,100707264
2021-01-09,5.77,7.46,5.62,7.22,7.22,162227415
2021-01-10,7.22,7.5,6.19,6.59,6.59,96243972
2021-01-11,6.58,6.99,5.78,6.49,6.49,101394969
2021-01-12,6.49,8.2,6.46,7.78,7.78,157738757
2021-01-13,7.76,8.48,7.19,8.47,8.47,107370548
2021-01-14,8.46,9.53,8.23,9.26,9.26,154674301
2021-01-15,9.27,9.86,8.63,9.38,9.38,123418249
2021-01-16,9.39,13.36,9.17,12.88,12.88,302897986
2021-01-17,12.87,14.38,12.4,13.2,13.2,303643624
2021-01-18,13.18,13.83,12.68,12.7,12.7,144213432
2021-01-19,12.71,13.33,11.62,11.79,11.79,147387064
2021-01-20,11.79,13.0,11.08,12.41,12.41,143245334
2021-01-21,12.42,12.99,11.15,11.31,11.31,166420741
2021-01-22,11.3,13.38,10.72,12.72,12.72,190313148
2021-01-23,12.71,13.48,12.56,12.88,12.88,140727865
2021-01-24,12.87,13.16,12.28,12.46,12.46,105137518
2021-01-25,12.46,12.93,12.08,12.22,12.22,89612475
2021-01-26,12.22,12.72,11.48,12.17,12.17,117575609
2021-01-27,12.18,12.22,10.84,11.18,11.18,97215395
2021-01-28,11.19,12.68,10.9,12.0,12.0,115201839
2021-01-29,12.02,12.61,11.38,11.62,11.62,146529369
2021-01-30,11.62,12.63,11.31,11.98,11.98,112936218
2021-01-31,12.0,15.22,11.86,13.52,13.52,351069270
2021-02-01,13.52,13.52,12.64,13.23,13.23,149280612
2021-02-02,13.24,13.67,12.81,13.52,13.52,91074992
2021-02-03,13.51,14.9,13.2,14.81,14.81,144515018
2021-02-04,14.8,15.81,13.98,15.37,15.37,180318628
2021-02-05,15.35,18.0,15.22,17.91,17.91,196730774
2021-02-06,17.91,18.54,16.04,17.98,17.98,192597459
2021-02-07,18.02,24.21,18.0,24.21,24.21,545865729
2021-02-08,24.04,33.31,23.67,30.28,30.28,894521369
2021-02-09,30.26,32.97,27.57,31.6,31.6,445128059
2021-02-10,31.6,59.94,31.6,55.3,55.3,2235807129
2021-02-11,54.93,56.26,42.23,47.37,47.37,856224806
2021-02-12,47.16,54.39,43.77,48.66,48.66,688788872
2021-02-13,48.66,51.92,43.49,43.79,43.79,380032573
2021-02-14,43.77,44.54,38.33,38.58,38.58,472803313
2021-02-15,38.55,43.99,33.83,38.18,38.18,492075708
2021-02-16,38.16,39.49,35.29,36.34,36.34,360245755
2021-02-17,36.4,41.21,34.22,37.05,37.05,417547992
2021-02-18,37.06,43.7,36.02,41.02,41.02,433522043
2021-02-19,41.04,41.21,38.0,38.75,38.75,319733162
2021-02-20,38.77,42.75,32.89,36.23,36.23,468606771
2021-02-21,36.1,37.93,35.15,36.15,36.15,213433308
2021-02-22,36.15,36.26,26.93,32.28,32.28,341397482
2021-02-23,32.31,32.31,23.41,27.56,27.56,358695614
2021-02-24,27.58,31.9,25.49,29.94,29.94,367826263
2021-02-25,29.93,32.04,26.74,26.74,26.74,246988832
2021-02-26,26.86,27.98,24.99,25.94,25.94,178639218
2021-02-27,25.96,27.42,25.26,25.81,25.81,160106642
2021-02-28,25.82,25.91,22.3,23.82,23.82,156409576
2021-03-01,23.88,27.77,23.7,27.4,27.4,248201636
2021-03-02,27.42,31.74,26.02,27.14,27.14,563934379
2021-03-03,27.15,29.23,26.62,27.27,27.27,305240058
2021-03-04,27.27,28.73,24.28,25.81,25.81,290696777
2021-03-05,25.78,25.78,23.62,24.38,24.38,192065807
2021-03-06,24.34,25.5,23.9,24.92,24.92,138082740
2021-03-07,24.92,27.87,24.92,26.65,26.65,300207534
2021-03-08,26.66,27.07,25.17,25.55,25.55,209982091
