Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,2.05,2.17,1.89,1.99,1.99,19192200
2017-11-10,2.01,2.07,1.64,1.8,1.8,11155000
2017-11-11,1.79,1.92,1.61,1.67,1.67,8178150
2017-11-12,1.67,1.67,1.46,1.52,1.52,15298700
2017-11-13,1.53,1.74,1.52,1.69,1.69,12238800
2017-11-14,1.69,1.74,1.57,1.59,1.59,7829600
2017-11-15,1.59,1.62,1.5,1.53,1.53,7615500
2017-11-16,1.56,1.68,1.54,1.58,1.58,8928640
2017-11-17,1.58,1.58,1.5,1.51,1.51,8508840
2017-11-18,1.51,1.68,1.5,1.67,1.67,32167300
2017-11-19,1.67,1.7,1.57,1.61,1.61,38081700
2017-11-20,1.63,1.66,1.56,1.62,1.62,12994500
2017-11-21,1.66,1.66,1.55,1.57,1.57,5440790
2017-11-22,1.59,1.62,1.56,1.61,1.61,7177000
2017-11-23,1.61,1.62,1.54,1.55,1.55,8392640
2017-11-24,1.57,1.82,1.56,1.72,1.72,12155400
2017-11-25,1.72,1.96,1.69,1.87,1.87,12839900
2017-11-26,1.89,1.94,1.83,1.85,1.85,9056850
2017-11-27,1.87,1.95,1.79,1.94,1.94,22826600
2017-11-28,1.96,1.96,1.87,1.92,1.92,36377700
2017-11-29,1.92,2.05,1.68,1.75,1.75,43765500
2017-11-30,1.76,2.05,1.76,2.0,2.0,31559500
2017-12-01,2.0,2.14,1.92,2.07,2.07,28867200
2017-12-02,2.08,2.12,2.0,2.08,2.08,24332700
2017-12-03,2.09,2.38,2.05,2.23,2.23,35163500
2017-12-04,2.26,2.58,2.26,2.49,2.49,41226200
2017-12-05,2.5,2.73,2.5,2.6,2.6,49190000
2017-12-06,2.58,2.78,2.35,2.59,2.59,41731500
2017-12-07,2.55,2.91,2.49,2.78,2.78,28297900
2017-12-08,2.77,2.87,2.26,2.83,2.83,38648500
2017-12-09,2.83,2.87,2.33,2.61,2.61,27217000
2017-12-10,2.66,2.7,2.21,2.48,2.48,19258500
2017-12-11,2.51,2.82,2.5,2.71,2.71,19427000
2017-12-12,2.73,2.78,2.61,2.68,2.68,24523200
2017-12-13,2.69,2.88,2.57,2.78,2.78,28429500
2017-12-14,2.77,3.16,2.77,3.16,3.16,40335300
2017-12-15,3.16,4.41,3.14,4.0,4.0,52745900
2017-12-16,4.17,4.73,3.92,4.66,4.66,54002400
2017-12-17,4.67,6.75,4.67,5.76,5.76,98159600
2017-12-18,5.79,6.22,5.28,5.62,5.62,66623700
2017-12-19,5.65,6.55,5.58,5.79,5.79,66695200
2017-12-20,5.79,5.79,4.93,5.18,5.18,47866900
2017-12-21,5.18,5.7,4.81,5.18,5.18,46905500
2017-12-22,5.21,5.21,3.51,4.34,4.34,36672600
2017-12-23,4.39,5.13,4.31,4.84,4.84,32930300
2017-12-24,4.74,5.29,4.2,5.29,5.29,43676900
2017-12-25,5.31,6.96,5.25,6.56,6.56,66374400
2017-12-26,6.56,10.62,6.5,9.03,9.03,167812992
2017-12-27,9.25,11.3,8.49,10.11,10.11,167808000
2017-12-28,10.13,10.2,8.15,9.32,9.32,109298000
2017-12-29,9.32,9.53,8.54,8.81,8.81,70849400
2017-12-30,8.71,8.76,7.19,7.84,7.84,72933904
2017-12-31,7.76,8.84,7.71,8.64,8.64,74927904
2018-01-01,8.63,8.7,7.96,8.41,8.41,66422800
2018-01-02,8.46,9.12,8.22,8.84,8.84,104789000
2018-01-03,8.77,9.58,8.53,9.54,9.54,108852000
2018-01-04,9.45,9.54,8.85,9.21,9.21,158819008
2018-01-05,9.15,16.72,9.09,14.92,14.92,341504992
2018-01-06,14.87,23.51,14.82,22.76,22.76,637020992
2018-01-07,22.77,22.77,18.24,18.66,18.66,258050000
2018-01-08,18.65,19.22,15.35,18.26,18.26,296617984
2018-01-09,18.17,20.32,16.8,17.41,17.41,194750000
2018-01-10,17.71,17.71,15.17,17.39,17.39,146582000
2018-01-11,17.57,23.15,15.29,21.04,21.04,389228000
2018-01-12,21.48,24.91,19.93,22.32,22.32,387537984
2018-01-13,22.35,23.67,21.37,22.17,22.17,181676000
2018-01-14,22.25,22.25,19.14,20.78,20.78,129239000
2018-01-15,20.8,23.6,19.33,19.56,19.56,244154000
2018-01-16,19.63,19.63,10.44,13.89,13.89,399951008
2018-01-17,13.62,15.54,9.66,14.2,14.2,299411008
2018-01-18,14.25,15.96,13.51,14.28,14.28,204899008
2018-01-19,14.31,15.64,13.99,14.94,14.94,139882000
2018-01-20,15.03,16.65,15.03,16.19,16.19,156744992
2018-01-21,16.25,16.25,13.36,14.07,14.07,141562000
2018-01-22,14.2,14.45,11.91,13.01,13.01,138026000
2018-01-23,13.0,13.96,11.78,13.09,13.09,91706200
2018-01-24,13.19,14.19,12.79,13.63,13.63,105736000
2018-01-25,13.76,14.14,13.06,13.23,13.23,105648000
2018-01-26,13.21,13.59,12.29,13.22,13.22,113429000
2018-01-27,13.23,13.44,12.89,13.25,13.25,84009400
2018-01-28,13.3,13.81,13.2,13.54,13.54,93871104
2018-01-29,13.55,13.67,12.68,12.76,12.76,71294304
2018-01-30,12.77,12.77,11.06,11.25,11.25,59389600
2018-01-31,11.27,11.41,10.57,11.15,11.15,50435000
2018-02-01,11.18,11.39,8.71,9.52,9.52,82984200
2018-02-02,9.41,10.46,7.22,9.65,9.65,91468200
2018-02-03,9.7,10.27,8.61,9.75,9.75,56556200
2018-02-04,9.75,9.75,8.1,8.46,8.46,49990000
2018-02-05,8.43,8.55,6.13,6.71,6.71,55276900
2018-02-06,6.81,8.56,5.59,8.29,8.29,97189904
2018-02-07,8.32,9.22,7.35,8.1,8.1,77970304
2018-02-08,8.09,8.72,8.09,8.6,8.6,82496000
2018-02-09,8.61,9.89,8.34,9.73,9.73,9284
2018-02-10,9.73,10.36,8.85,9.26,9.26,80123200
2018-02-11,9.2,9.35,8.14,8.7,8.7,68554600
2018-02-12,8.71,9.4,8.71,9.32,9.32,50792600
2018-02-13,9.32,9.35,8.77,8.99,8.99,41593400
2018-02-14,9.02,10.65,8.99,10.4,10.4,68781600
2018-02-15,10.39,11.28,10.1,10.93,10.93,108962000
2018-02-16,10.91,11.2,10.43,11.2,11.2,71131800
2018-02-17,11.08,11.87,10.95,11.69,11.69,76093504
2018-02-18,11.69,11.7,10.68,10.7,10.7,62044700
2018-02-19,10.67,11.19,10.65,11.08,11.08,54898800
2018-02-20,11.09,11.19,9.79,9.9,9.9,66512400
2018-02-21,9.88,10.19,9.15,9.38,9.38,55087600
2018-02-22,9.4,9.81,8.71,8.9,8.9,47216100
2018-02-23,8.87,9.73,8.66,9.69,9.69,53626800
2018-02-24,9.69,9.84,8.78,9.14,9.14,48709200
2018-02-25,9.15,9.49,8.94,9.35,9.35,43814500
2018-02-26,9.37,10.06,9.13,9.9,9.9,53540300
2018-02-27,9.97,11.1,9.82,10.66,10.66,97184400
2018-02-28,10.69,11.18,10.39,10.44,10.44,69036400
2018-03-01,10.45,10.67,10.33,10.51,10.51,72474200
2018-03-02,10.46,10.54,10.14,10.22,10.22,46449100
2018-03-03,10.29,10.45,10.13,10.22,10.22,40001900
2018-03-04,10.21,10.39,9.9,10.35,10.35,37886900
2018-03-05,10.4,10.44,10.1,10.11,10.11,38605100
2018-03-06,10.15,10.15,9.15,9.38,9.38,38182600
2018-03-07,9.4,10.13,8.24,9.03,9.03,79740800
2018-03-08,9.04,9.14,8.12,8.31,8.31,48535100
2018-03-09,8.26,8.33,7.17,8.31,8.31,46893300
2018-03-10,8.27,8.35,7.63,7.67,7.67,41645000
2018-03-11,7.65,8.42,7.38,8.27,8.27,45451700
2018-03-12,8.3,8.55,7.74,8.04,8.04,51188100
2018-03-13,8.0,11.0,7.9,10.12,10.12,216111008
2018-03-14,10.13,10.67,8.55,8.96,8.96,124112000
2018-03-15,8.94,9.4,8.42,9.1,9.1,104531000
2018-03-16,9.13,9.39,8.64,9.11,9.11,97626000
2018-03-17,9.2,9.5,8.66,8.99,8.99,94679904
2018-03-18,8.96,8.96,7.86,8.95,8.95,94840304
2018-03-19,9.09,9.26,8.5,8.99,8.99,97938896
2018-03-20,8.99,9.24,8.66,9.16,9.16,96919504
2018-03-21,9.17,10.29,9.08,9.98,9.98,131761000
2018-03-22,10.03,10.91,9.57,10.07,10.07,112305000
2018-03-23,10.05,11.98,9.54,11.74,11.74,157246000
2018-03-24,11.71,14.84,11.6,13.09,13.09,255358000
2018-03-25,13.14,14.23,12.57,12.78,12.78,189518000
2018-03-26,12.91,12.91,10.96,12.06,12.06,132353000
2018-03-27,12.12,12.23,10.88,11.51,11.51,102579000
2018-03-28,11.52,12.25,11.39,11.64,11.64,92931200
2018-03-29,11.7,11.73,10.17,10.2,10.2,81352096
2018-03-30,10.17,10.75,9.74,10.35,10.35,75551600
2018-03-31,10.39,11.39,10.29,11.06,11.06,89256304
2018-04-01,11.15,11.3,10.38,11.07,11.07,87918096
2018-04-02,11.07,12.65,11.02,12.62,12.62,116071000
2018-04-03,12.64,13.95,12.33,13.36,13.36,141287008
2018-04-04,13.29,13.44,12.0,12.19,12.19,119600000
2018-04-05,12.2,12.62,12.14,12.45,12.45,103864000
2018-04-06,12.49,12.64,12.04,12.26,12.26,81989696
2018-04-07,12.27,12.63,12.27,12.46,12.46,87924896
2018-04-08,12.51,12.51,12.12,12.12,12.12,79045000
2018-04-09,12.12,12.55,11.61,11.87,11.87,80643696
2018-04-10,11.91,12.4,11.85,12.04,12.04,87608200
2018-04-11,12.04,12.23,11.78,12.23,12.23,92759696
2018-04-12,12.42,12.95,11.91,12.95,12.95,133239000
2018-04-13,13.15,13.76,12.75,13.54,13.54,148215008
2018-04-14,13.45,13.84,12.99,13.24,13.24,94980800
2018-04-15,13.3,13.58,12.92,13.06,13.06,115373000
2018-04-16,13.05,13.06,12.08,12.21,12.21,75965504
2018-04-17,12.23,12.46,11.67,11.77,11.77,77537400
2018-04-18,11.79,12.39,11.53,12.28,12.28,90015104
2018-04-19,12.26,12.43,12.04,12.35,12.35,78661696
2018-04-20,12.35,12.72,11.93,12.58,12.58,86036096
2018-04-21,12.57,13.67,12.44,13.38,13.38,141582000
2018-04-22,13.35,13.35,12.86,12.88,12.88,84873000
2018-04-23,12.88,13.83,12.85,13.63,13.63,132041000
2018-04-24,13.65,15.62,13.65,15.27,15.27,165599008
2018-04-25,15.21,15.93,13.05,13.29,13.29,144820992
2018-04-26,13.35,14.71,13.25,14.65,14.65,127788000
2018-04-27,14.65,14.77,14.18,14.33,14.33,101995000
2018-04-28,14.28,15.33,14.23,15.2,15.2,122360000
2018-04-29,15.16,15.4,14.56,15.06,15.06,105495000
2018-04-30,15.06,15.16,14.11,14.31,14.31,83765800
2018-05-01,14.31,14.31,13.61,14.16,14.16,75433904
2018-05-02,14.17,14.41,13.94,14.41,14.41,80730304
2018-05-03,14.44,14.78,14.21,14.65,14.65,104726000
2018-05-04,14.63,14.68,14.24,14.33,14.33,79940496
2018-05-05,14.32,14.5,14.21,14.37,14.37,71502096
2018-05-06,14.36,14.8,13.68,13.94,13.94,74731600
2018-05-07,13.94,13.97,12.99,13.7,13.7,59800200
2018-05-08,13.7,13.92,13.15,13.53,13.53,57865500
2018-05-09,13.52,14.81,13.08,14.66,14.66,99046304
2018-05-10,14.68,15.05,13.82,13.82,13.82,68250000
2018-05-11,13.88,14.09,12.59,12.99,12.99,57027500
2018-05-12,12.97,13.15,12.25,12.94,12.94,44001000
2018-05-13,13.01,13.55,12.74,13.12,13.12,70816496
2018-05-14,13.16,13.17,12.36,12.87,12.87,49317700
2018-05-15,12.85,13.27,12.51,12.57,12.57,45696200
2018-05-16,12.56,12.57,11.95,12.26,12.26,35233200
2018-05-17,12.32,12.97,12.27,12.47,12.47,54251500
2018-05-18,12.36,16.22,12.05,15.14,15.14,243260992
2018-05-19,15.13,15.62,13.99,14.25,14.25,138320992
2018-05-20,14.35,14.37,13.69,14.12,14.12,95390200
2018-05-21,14.13,14.79,13.82,14.72,14.72,97367296
2018-05-22,14.57,14.84,13.75,13.93,13.93,86545104
2018-05-23,13.85,13.93,12.33,12.63,12.63,68215200
2018-05-24,12.61,13.19,12.2,13.0,13.0,54410900
2018-05-25,13.03,13.37,12.64,13.01,13.01,49173800
2018-05-26,12.96,13.2,12.7,12.76,12.76,43258400
2018-05-27,12.79,12.79,12.33,12.61,12.61,36691600
2018-05-28,12.6,12.75,11.7,11.89,11.89,33398400
2018-05-29,11.96,12.68,11.77,12.57,12.57,48807700
2018-05-30,12.61,12.8,12.27,12.57,12.57,43146300
2018-05-31,12.56,14.22,12.41,14.19,14.19,93931696
2018-06-01,14.25,14.41,13.79,14.24,14.24,80342200
2018-06-02,14.32,14.85,14.01,14.68,14.68,87983000
2018-06-03,14.68,14.95,14.33,14.57,14.57,82182304
2018-06-04,14.68,14.68,13.67,14.26,14.26,58219100
2018-06-05,14.25,15.67,14.21,15.6,15.6,101474000
2018-06-06,15.6,17.36,15.35,17.25,17.25,157806000
2018-06-07,17.27,17.44,16.18,16.26,16.26,131031000
2018-06-08,16.35,16.63,15.83,16.27,16.27,94394600
2018-06-09,16.31,16.89,15.96,15.96,15.96,85299904
2018-06-10,15.93,15.93,13.59,14.18,14.18,79288200
2018-06-11,14.14,15.38,13.79,15.38,15.38,83039696
2018-06-12,15.52,16.16,14.99,15.23,15.23,116016000
2018-06-13,15.3,15.72,14.03,14.59,14.59,97415904
2018-06-14,14.64,15.03,14.14,14.9,14.9,80329504
2018-06-15,14.88,15.65,14.69,15.05,15.05,79159296
2018-06-16,14.94,15.98,14.94,15.81,15.81,81354704
2018-06-17,15.78,17.23,15.76,16.58,16.58,107346000
2018-06-18,16.62,17.19,16.22,16.88,16.88,106776000
2018-06-19,16.78,16.94,16.21,16.7,16.7,80738096
2018-06-20,16.76,16.86,15.74,16.06,16.06,65190300
2018-06-21,16.07,17.27,15.92,17.05,17.05,122980000
2018-06-22,17.07,17.24,15.26,15.59,15.59,113751000
2018-06-23,15.6,16.06,15.36,15.55,15.55,70431104
2018-06-24,15.57,15.59,13.54,14.45,14.45,96256304
2018-06-25,14.46,15.07,13.83,14.92,14.92,60358000
2018-06-26,14.93,14.99,13.87,14.12,14.12,37503400
2018-06-27,14.07,14.31,13.89,14.05,14.05,44136600
