Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.22,0.25,0.2,0.22,0.22,3347920
2017-11-10,0.22,0.23,0.18,0.19,0.19,2125460
2017-11-11,0.19,0.2,0.17,0.18,0.18,2238980
2017-11-12,0.18,0.2,0.15,0.17,0.17,5455200
2017-11-13,0.17,0.21,0.17,0.18,0.18,2992650
2017-11-14,0.18,0.2,0.17,0.19,0.19,2203410
2017-11-15,0.19,0.19,0.18,0.19,0.19,1689780
2017-11-16,0.19,0.19,0.16,0.17,0.17,1766160
2017-11-17,0.17,0.17,0.15,0.16,0.16,2547360
2017-11-18,0.16,0.18,0.15,0.17,0.17,1948470
2017-11-19,0.17,0.17,0.16,0.16,0.16,1646620
2017-11-20,0.16,0.17,0.16,0.16,0.16,1916880
2017-11-21,0.16,0.17,0.15,0.15,0.15,1952710
2017-11-22,0.16,0.17,0.15,0.17,0.17,2709660
2017-11-23,0.17,0.19,0.16,0.16,0.16,3325760
2017-11-24,0.17,0.19,0.16,0.19,0.19,3763260
2017-11-25,0.19,0.19,0.17,0.18,0.18,2292830
2017-11-26,0.18,0.19,0.17,0.18,0.18,1860700
2017-11-27,0.18,0.19,0.17,0.18,0.18,4242550
2017-11-28,0.19,0.19,0.18,0.18,0.18,5251760
2017-11-29,0.18,0.18,0.14,0.15,0.15,5052720
2017-11-30,0.15,0.18,0.14,0.17,0.17,4621870
2017-12-01,0.17,0.18,0.16,0.18,0.18,4352980
2017-12-02,0.18,0.22,0.17,0.21,0.21,7396790
2017-12-03,0.21,0.26,0.19,0.23,0.23,8765840
2017-12-04,0.23,0.25,0.21,0.23,0.23,6981590
2017-12-05,0.23,0.31,0.22,0.31,0.31,12459200
2017-12-06,0.31,0.35,0.27,0.29,0.29,12387900
2017-12-07,0.28,0.31,0.24,0.26,0.26,6697780
2017-12-08,0.26,0.27,0.21,0.25,0.25,4528570
2017-12-09,0.24,0.27,0.23,0.24,0.24,3173600
2017-12-10,0.24,0.27,0.22,0.25,0.25,3142570
2017-12-11,0.26,0.29,0.25,0.26,0.26,7534170
2017-12-12,0.25,0.27,0.21,0.23,0.23,10320200
2017-12-13,0.23,0.29,0.22,0.26,0.26,10439800
2017-12-14,0.26,0.37,0.25,0.31,0.31,16021700
2017-12-15,0.31,0.35,0.26,0.32,0.32,13211800
2017-12-16,0.32,0.35,0.29,0.34,0.34,13859700
2017-12-17,0.34,0.44,0.34,0.42,0.42,20035600
2017-12-18,0.42,0.43,0.36,0.43,0.43,18220400
2017-12-19,0.43,0.51,0.42,0.44,0.44,13254800
2017-12-20,0.44,0.44,0.35,0.37,0.37,10481200
2017-12-21,0.38,0.47,0.37,0.42,0.42,12030600
2017-12-22,0.43,0.46,0.28,0.43,0.43,14979800
2017-12-23,0.44,0.72,0.44,0.58,0.58,24055000
2017-12-24,0.58,0.6,0.44,0.54,0.54,15183200
2017-12-25,0.55,0.58,0.49,0.5,0.5,7740550
2017-12-26,0.51,0.55,0.44,0.52,0.52,10452900
2017-12-27,0.52,0.53,0.46,0.51,0.51,6065390
2017-12-28,0.5,0.51,0.44,0.51,0.51,5458410
2017-12-29,0.51,0.52,0.46,0.49,0.49,5757530
2017-12-30,0.49,0.59,0.43,0.59,0.59,9126190
2017-12-31,0.56,0.61,0.52,0.6,0.6,9962080
2018-01-01,0.6,0.74,0.57,0.73,0.73,11506300
2018-01-02,0.73,0.76,0.59,0.67,0.67,12671100
2018-01-03,0.67,0.7,0.63,0.68,0.68,8620400
2018-01-04,0.68,1.02,0.68,0.98,0.98,24679000
2018-01-05,0.96,1.26,0.85,0.91,0.91,23599300
2018-01-06,0.96,1.19,0.94,1.06,1.06,16319300
2018-01-07,1.09,1.32,1.01,1.27,1.27,23308800
2018-01-08,1.27,1.44,1.05,1.38,1.38,25545400
2018-01-09,1.38,1.42,1.18,1.23,1.23,14301200
2018-01-10,1.24,1.26,1.09,1.19,1.19,11260700
2018-01-11,1.18,1.29,0.97,1.01,1.01,10009300
2018-01-12,1.03,1.14,0.99,1.05,1.05,9231200
2018-01-13,1.05,1.28,1.05,1.1,1.1,12319900
2018-01-14,1.11,1.15,0.94,1.01,1.01,5844480
2018-01-15,1.01,1.04,0.85,0.88,0.88,8351260
2018-01-16,0.88,0.88,0.52,0.76,0.76,8988860
2018-01-17,0.75,0.77,0.48,0.7,0.7,7658770
2018-01-18,0.7,0.82,0.69,0.74,0.74,5953820
2018-01-19,0.74,0.91,0.7,0.81,0.81,7383730
2018-01-20,0.82,1.22,0.81,1.22,1.22,13848900
2018-01-21,1.2,1.2,0.84,0.89,0.89,22703900
2018-01-22,0.91,1.02,0.73,0.8,0.8,12408600
2018-01-23,0.8,0.86,0.72,0.8,0.8,7552930
2018-01-24,0.8,0.83,0.77,0.79,0.79,6451640
2018-01-25,0.8,0.83,0.72,0.76,0.76,6271900
2018-01-26,0.76,0.79,0.68,0.71,0.71,5618280
2018-01-27,0.71,0.85,0.69,0.78,0.78,14915400
2018-01-28,0.79,0.86,0.75,0.76,0.76,9034380
2018-01-29,0.76,0.76,0.69,0.7,0.7,5220320
2018-01-30,0.7,0.7,0.56,0.6,0.6,5598540
2018-01-31,0.6,0.62,0.57,0.62,0.62,6957010
2018-02-01,0.62,0.62,0.48,0.52,0.52,6605630
2018-02-02,0.52,0.52,0.35,0.49,0.49,7123780
2018-02-03,0.5,0.54,0.45,0.52,0.52,5826330
2018-02-04,0.52,0.53,0.4,0.43,0.43,5171480
2018-02-05,0.43,0.44,0.31,0.34,0.34,4347320
2018-02-06,0.34,0.44,0.27,0.43,0.43,6105750
2018-02-07,0.43,0.44,0.37,0.38,0.38,5201810
2018-02-08,0.38,0.43,0.38,0.41,0.41,5285960
2018-02-09,0.41,0.44,0.39,0.44,0.44,3047610
2018-02-10,0.44,0.48,0.4,0.42,0.42,3474900
2018-02-11,0.42,0.44,0.38,0.42,0.42,2544010
2018-02-12,0.42,0.52,0.41,0.49,0.49,7646360
2018-02-13,0.49,0.62,0.48,0.57,0.57,30283200
2018-02-14,0.56,0.59,0.53,0.57,0.57,11953100
2018-02-15,0.57,0.58,0.53,0.57,0.57,7288970
2018-02-16,0.56,0.67,0.56,0.64,0.64,9385160
2018-02-17,0.64,0.68,0.64,0.67,0.67,8038940
2018-02-18,0.68,0.78,0.59,0.76,0.76,15946800
2018-02-19,0.76,0.88,0.71,0.77,0.77,29965000
2018-02-20,0.77,0.82,0.7,0.7,0.7,11664800
2018-02-21,0.7,0.73,0.62,0.65,0.65,7049450
2018-02-22,0.65,0.71,0.58,0.6,0.6,5678200
2018-02-23,0.6,0.68,0.57,0.67,0.67,6902820
2018-02-24,0.68,0.72,0.62,0.65,0.65,5582380
2018-02-25,0.65,0.7,0.64,0.68,0.68,5793540
2018-02-26,0.67,0.7,0.64,0.69,0.69,4113690
2018-02-27,0.69,0.74,0.68,0.72,0.72,5426840
2018-02-28,0.72,0.74,0.66,0.66,0.66,4943770
2018-03-01,0.66,0.68,0.65,0.66,0.66,3992240
2018-03-02,0.66,0.67,0.65,0.65,0.65,3763040
2018-03-03,0.65,0.67,0.62,0.63,0.63,3547810
