Date,Open,High,Low,Close,Adj Close,Volume
2019-04-28,0.0,0.0,0.0,0.0,0.0,8408136
2019-04-29,0.0,0.0,0.0,0.0,0.0,8267044
2019-04-30,0.0,0.01,0.0,0.0,0.0,25072706
2019-05-01,0.0,0.0,0.0,0.0,0.0,10567352
2019-05-02,0.0,0.0,0.0,0.0,0.0,6714908
2019-05-03,0.0,0.0,0.0,0.0,0.0,5702394
2019-05-04,0.0,0.0,0.0,0.0,0.0,3178995
2019-05-05,0.0,0.0,0.0,0.0,0.0,3467564
2019-05-06,0.0,0.0,0.0,0.0,0.0,4689162
2019-05-07,0.0,0.0,0.0,0.0,0.0,3805657
2019-05-08,0.0,0.0,0.0,0.0,0.0,2938835
2019-05-09,0.0,0.0,0.0,0.0,0.0,4588498
2019-05-10,0.0,0.0,0.0,0.0,0.0,8654899
2019-05-11,0.0,0.0,0.0,0.0,0.0,13370479
2019-05-12,0.0,0.01,0.0,0.01,0.01,17955639
2019-05-13,0.01,0.01,0.01,0.01,0.01,74304041
2019-05-14,0.01,0.01,0.01,0.01,0.01,98051040
2019-05-15,0.01,0.01,0.01,0.01,0.01,49168290
2019-05-16,0.01,0.01,0.01,0.01,0.01,59175168
2019-05-17,0.01,0.02,0.01,0.01,0.01,168390964
2019-05-18,0.01,0.01,0.01,0.01,0.01,56628223
2019-05-19,0.01,0.02,0.01,0.02,0.02,141440073
2019-05-20,0.02,0.03,0.02,0.03,0.03,396597433
2019-05-21,0.03,0.05,0.03,0.03,0.03,698132268
2019-05-22,0.03,0.03,0.02,0.02,0.02,266364855
2019-05-23,0.02,0.03,0.02,0.03,0.03,419427516
2019-05-24,0.03,0.03,0.02,0.03,0.03,150950422
2019-05-25,0.03,0.03,0.02,0.03,0.03,148137222
2019-05-26,0.02,0.03,0.02,0.02,0.02,95970365
2019-05-27,0.02,0.02,0.02,0.02,0.02,81723337
2019-05-28,0.02,0.03,0.02,0.02,0.02,93128408
2019-05-29,0.02,0.02,0.02,0.02,0.02,56456075
2019-05-30,0.02,0.02,0.02,0.02,0.02,53390395
2019-05-31,0.02,0.02,0.02,0.02,0.02,58953725
2019-06-01,0.02,0.02,0.02,0.02,0.02,56083345
2019-06-02,0.02,0.02,0.02,0.02,0.02,34962106
2019-06-03,0.02,0.02,0.02,0.02,0.02,32081991
2019-06-04,0.02,0.02,0.02,0.02,0.02,74180051
2019-06-05,0.02,0.02,0.02,0.02,0.02,97965656
2019-06-06,0.02,0.03,0.02,0.02,0.02,97713487
2019-06-07,0.02,0.02,0.02,0.02,0.02,44071890
2019-06-08,0.02,0.03,0.02,0.03,0.03,64435870
2019-06-09,0.03,0.03,0.02,0.03,0.03,73046408
2019-06-10,0.03,0.03,0.02,0.03,0.03,60877107
2019-06-11,0.03,0.03,0.02,0.02,0.02,51200991
2019-06-12,0.02,0.03,0.02,0.02,0.02,52476410
2019-06-13,0.02,0.02,0.02,0.02,0.02,63319867
2019-06-14,0.02,0.02,0.02,0.02,0.02,49012105
2019-06-15,0.02,0.02,0.02,0.02,0.02,45335051
2019-06-16,0.02,0.02,0.02,0.02,0.02,44493232
2019-06-17,0.02,0.02,0.02,0.02,0.02,43265637
2019-06-18,0.02,0.02,0.02,0.02,0.02,41126019
2019-06-19,0.02,0.02,0.02,0.02,0.02,58808815
2019-06-20,0.02,0.02,0.02,0.02,0.02,39914360
2019-06-21,0.02,0.02,0.02,0.02,0.02,46822448
2019-06-22,0.02,0.02,0.02,0.02,0.02,68831297
2019-06-23,0.02,0.02,0.02,0.02,0.02,42043311
2019-06-24,0.02,0.02,0.02,0.02,0.02,22890825
2019-06-25,0.02,0.02,0.02,0.02,0.02,33004361
2019-06-26,0.02,0.02,0.02,0.02,0.02,70915691
2019-06-27,0.02,0.02,0.02,0.02,0.02,80337036
2019-06-28,0.02,0.02,0.02,0.02,0.02,58142031
2019-06-29,0.02,0.03,0.02,0.02,0.02,108612074
2019-06-30,0.02,0.03,0.02,0.02,0.02,76878554
2019-07-01,0.02,0.02,0.02,0.02,0.02,43065137
2019-07-02,0.02,0.02,0.02,0.02,0.02,38477391
2019-07-03,0.02,0.02,0.02,0.02,0.02,45216122
2019-07-04,0.02,0.02,0.02,0.02,0.02,32887710
2019-07-05,0.02,0.02,0.02,0.02,0.02,27367853
2019-07-06,0.02,0.02,0.02,0.02,0.02,12982909
2019-07-07,0.02,0.02,0.02,0.02,0.02,14631473
2019-07-08,0.02,0.02,0.02,0.02,0.02,19055091
2019-07-09,0.02,0.02,0.02,0.02,0.02,26887304
2019-07-10,0.02,0.02,0.01,0.02,0.02,40939360
2019-07-11,0.02,0.02,0.01,0.01,0.01,26411733
2019-07-12,0.01,0.02,0.01,0.02,0.02,23337869
2019-07-13,0.02,0.02,0.02,0.02,0.02,33073356
2019-07-14,0.02,0.02,0.01,0.01,0.01,21016195
2019-07-15,0.01,0.01,0.01,0.01,0.01,16709138
2019-07-16,0.01,0.01,0.01,0.01,0.01,19887283
2019-07-17,0.01,0.01,0.01,0.01,0.01,24020397
2019-07-18,0.01,0.01,0.01,0.01,0.01,21329202
2019-07-19,0.01,0.01,0.01,0.01,0.01,10390623
2019-07-20,0.01,0.01,0.01,0.01,0.01,10575845
2019-07-21,0.01,0.01,0.01,0.01,0.01,6444981
2019-07-22,0.01,0.01,0.01,0.01,0.01,8394913
2019-07-23,0.01,0.01,0.01,0.01,0.01,8395360
