Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,1.01,1.01,1.0,1.01,1.01,358188000
2017-11-10,1.01,1.02,1.0,1.01,1.01,756446016
2017-11-11,1.01,1.03,1.0,1.01,1.01,746227968
2017-11-12,1.01,1.11,0.97,1.01,1.01,1466060032
2017-11-13,1.0,1.03,0.98,1.01,1.01,767884032
2017-11-14,1.01,1.01,1.0,1.01,1.01,429857984
2017-11-15,1.0,1.01,1.0,1.0,1.0,449671008
2017-11-16,1.01,1.01,0.99,1.0,1.0,650278976
2017-11-17,1.0,1.01,1.0,1.0,1.0,639398016
2017-11-18,1.0,1.01,1.0,1.0,1.0,588136000
2017-11-19,1.0,1.01,1.0,1.0,1.0,485752992
2017-11-20,1.0,1.0,1.0,1.0,1.0,449595008
2017-11-21,1.0,1.01,0.99,1.0,1.0,622649024
2017-11-22,1.0,1.0,0.99,1.0,1.0,499812000
2017-11-23,1.0,1.01,0.99,0.99,0.99,735883008
2017-11-24,1.0,1.01,0.99,1.0,1.0,848627968
2017-11-25,1.0,1.01,1.0,1.01,1.01,651987968
2017-11-26,1.0,1.02,1.0,1.01,1.01,636451968
2017-11-27,1.01,1.02,1.0,1.0,1.0,784436992
2017-11-28,1.0,1.01,1.0,1.0,1.0,794764032
2017-11-29,1.0,1.05,0.96,0.99,0.99,1672120064
2017-11-30,1.0,1.03,0.99,1.01,1.01,1043969984
2017-12-01,1.01,1.02,0.99,1.01,1.01,749395968
2017-12-02,1.01,1.02,1.0,1.0,1.0,679950016
2017-12-03,1.0,1.03,0.99,1.0,1.0,946748992
2017-12-04,1.0,1.01,0.99,1.0,1.0,668510016
2017-12-05,1.0,1.01,1.0,1.0,1.0,814145984
2017-12-06,1.0,1.02,1.0,1.01,1.01,1281490048
2017-12-07,1.01,1.08,1.0,1.03,1.03,1671609984
2017-12-08,1.04,1.06,0.99,1.02,1.02,1993030016
2017-12-09,1.02,1.05,0.99,1.02,1.02,1598909952
2017-12-10,1.02,1.04,0.97,1.02,1.02,1649500032
2017-12-11,1.01,1.03,1.0,1.02,1.02,1542119936
2017-12-12,1.02,1.08,1.0,1.08,1.08,2240839936
2017-12-13,1.08,1.09,1.02,1.03,1.03,2198139904
2017-12-14,1.03,1.05,1.01,1.01,1.01,2336179968
2017-12-15,1.01,1.02,1.0,1.02,1.02,2044499968
2017-12-16,1.02,1.02,1.0,1.01,1.01,1592729984
2017-12-17,1.01,1.02,1.0,1.01,1.01,1931020032
2017-12-18,1.01,1.02,1.0,1.01,1.01,2517230080
2017-12-19,1.01,1.03,1.0,1.01,1.01,3073860096
2017-12-20,1.01,1.02,0.99,1.0,1.0,3751790080
2017-12-21,1.0,1.04,0.99,1.01,1.01,3106720000
2017-12-22,1.01,1.06,0.96,1.02,1.02,4687949824
2017-12-23,1.01,1.05,1.01,1.05,1.05,2353740032
2017-12-24,1.05,1.07,1.02,1.02,1.02,2611589888
2017-12-25,1.03,1.03,1.01,1.01,1.01,1708380032
2017-12-26,1.01,1.02,1.0,1.0,1.0,1854780032
2017-12-27,1.0,1.01,1.0,1.0,1.0,1939949952
2017-12-28,1.0,1.03,1.0,1.01,1.01,2211409920
2017-12-29,1.01,1.02,1.0,1.01,1.01,1929090048
2017-12-30,1.01,1.03,0.99,1.02,1.02,2711059968
2017-12-31,1.02,1.02,1.0,1.01,1.01,1927010048
2018-01-01,1.01,1.02,1.0,1.01,1.01,1685299968
2018-01-02,1.01,1.01,0.99,1.0,1.0,2635859968
2018-01-03,1.01,1.02,1.0,1.01,1.01,2471689984
