Date,Open,High,Low,Close,Adj Close,Volume
2021-08-27,0.52,0.69,0.5,0.69,0.69,573566
2021-08-28,0.69,0.69,0.61,0.64,0.64,250158
2021-08-29,0.64,0.65,0.53,0.55,0.55,188295
2021-08-30,0.55,0.92,0.55,0.87,0.87,763243
2021-08-31,0.87,1.13,0.8,1.03,1.03,1802341
2021-09-01,1.03,1.07,0.78,0.87,0.87,1888126
2021-09-02,0.87,0.98,0.81,0.89,0.89,295419
2021-09-03,0.89,1.01,0.77,0.99,0.99,382776
2021-09-04,0.99,1.06,0.9,0.94,0.94,506056
2021-09-05,0.94,0.98,0.92,0.98,0.98,66182
2021-09-06,0.98,1.07,0.92,1.05,1.05,259649
2021-09-07,1.05,1.05,0.78,0.83,0.83,426217
2021-09-08,0.83,0.91,0.77,0.88,0.88,370122
2021-09-09,0.87,0.9,0.84,0.84,0.84,108568
2021-09-10,0.84,1.02,0.81,0.89,0.89,666116
2021-09-11,0.89,0.94,0.86,0.93,0.93,193117
2021-09-12,0.93,0.93,0.84,0.87,0.87,189968
2021-09-13,0.87,0.88,0.76,0.85,0.85,284697
2021-09-14,0.85,0.89,0.82,0.88,0.88,173173
2021-09-15,0.88,0.89,0.83,0.86,0.86,310993
2021-09-16,0.86,0.87,0.72,0.8,0.8,239051
2021-09-17,0.8,0.82,0.65,0.77,0.77,367606
2021-09-18,0.77,0.79,0.64,0.71,0.71,196161
2021-09-19,0.71,0.71,0.67,0.69,0.69,61909
2021-09-20,0.69,0.69,0.39,0.6,0.6,516936
2021-09-21,0.6,0.63,0.51,0.6,0.6,278652
2021-09-22,0.6,0.64,0.54,0.61,0.61,222735
2021-09-23,0.61,0.78,0.59,0.75,0.75,233496
2021-09-24,0.75,0.76,0.67,0.72,0.72,127761
2021-09-25,0.72,0.73,0.7,0.71,0.71,101804
2021-09-26,0.71,0.75,0.68,0.73,0.73,223566
2021-09-27,0.73,0.8,0.73,0.76,0.76,238292
2021-09-28,0.76,0.78,0.71,0.71,0.71,133104
2021-09-29,0.71,0.78,0.71,0.74,0.74,147902
2021-09-30,0.74,0.77,0.73,0.76,0.76,108735
2021-10-01,0.76,0.84,0.74,0.83,0.83,131340
2021-10-02,0.83,0.84,0.8,0.8,0.8,119713
2021-10-03,0.8,0.81,0.72,0.75,0.75,114018
2021-10-04,0.75,0.75,0.67,0.74,0.74,142008
2021-10-05,0.74,0.83,0.67,0.83,0.83,339172
2021-10-06,0.83,0.84,0.64,0.77,0.77,234139
2021-10-07,0.77,0.77,0.69,0.73,0.73,106791
2021-10-08,0.73,0.75,0.71,0.72,0.72,60055
2021-10-09,0.72,0.93,0.72,0.82,0.82,272026
2021-10-10,0.82,0.89,0.77,0.79,0.79,163252
2021-10-11,0.78,0.83,0.75,0.78,0.78,153889
2021-10-12,0.78,0.79,0.72,0.75,0.75,53891
2021-10-13,0.75,0.78,0.72,0.75,0.75,80392
2021-10-14,0.75,0.77,0.69,0.7,0.7,112007
2021-10-15,0.7,0.79,0.69,0.75,0.75,179246
2021-10-16,0.75,0.84,0.74,0.79,0.79,553665
2021-10-17,0.79,0.84,0.72,0.76,0.76,303745
2021-10-18,0.76,0.8,0.74,0.77,0.77,206167
2021-10-19,0.77,0.81,0.63,0.71,0.71,639782
2021-10-20,0.71,0.89,0.69,0.84,0.84,667305
2021-10-21,0.84,0.84,0.71,0.74,0.74,299719
2021-10-22,0.74,0.78,0.69,0.75,0.75,194663
2021-10-23,0.75,0.82,0.73,0.82,0.82,358884
2021-10-24,0.82,0.83,0.76,0.79,0.79,230078
2021-10-25,0.79,0.81,0.74,0.77,0.77,151931
2021-10-26,0.77,0.84,0.72,0.79,0.79,387421
2021-10-27,0.79,0.84,0.72,0.73,0.73,392330
2021-10-28,0.73,0.8,0.72,0.74,0.74,307653
2021-10-29,0.74,0.83,0.73,0.82,0.82,359504
2021-10-30,0.82,0.82,0.77,0.79,0.79,133642
2021-10-31,0.79,0.8,0.76,0.77,0.77,251517
2021-11-01,0.77,0.8,0.76,0.77,0.77,199216
2021-11-02,0.77,0.81,0.76,0.77,0.77,296895
2021-11-03,0.77,0.8,0.75,0.78,0.78,299282
2021-11-04,0.78,0.91,0.76,0.86,0.86,848767
2021-11-05,0.86,1.0,0.83,0.98,0.98,751030
2021-11-06,0.98,1.47,0.94,1.44,1.44,2325660
2021-11-07,1.44,3.19,1.44,2.82,2.82,4997968
2021-11-08,2.82,4.25,2.71,2.93,2.93,7406623
2021-11-09,2.93,3.37,2.73,2.98,2.98,7190917
2021-11-10,2.98,4.35,2.82,3.7,3.7,10875707
2021-11-11,3.71,5.75,3.39,4.45,4.45,26350364
2021-11-12,4.44,5.84,4.28,4.5,4.5,48444711
2021-11-13,4.5,4.51,3.75,3.93,3.93,21783528
2021-11-14,3.93,4.0,3.45,3.52,3.52,9147043
2021-11-15,3.52,3.92,3.52,3.9,3.9,7538783
2021-11-16,3.91,4.36,3.74,4.32,4.32,13163351
2021-11-17,4.32,4.44,4.13,4.21,4.21,13798041
2021-11-18,4.2,4.2,3.78,3.82,3.82,8871301
2021-11-19,3.82,3.91,3.8,3.82,3.82,5475221
2021-11-20,3.82,3.83,3.56,3.72,3.72,5057068
2021-11-21,3.73,3.85,3.67,3.76,3.76,4847919
2021-11-22,3.76,3.81,3.51,3.52,3.52,5173591
2021-11-23,3.52,3.6,3.48,3.52,3.52,3406570
2021-11-24,3.52,3.54,3.46,3.51,3.51,2865182
2021-11-25,3.49,3.51,3.3,3.4,3.4,3084259
2021-11-26,3.38,3.39,2.99,3.0,3.0,7460015
2021-11-27,3.0,3.15,3.0,3.09,3.09,2602966
2021-11-28,3.09,3.09,2.86,3.03,3.03,2735688
2021-11-29,3.03,3.08,2.98,2.99,2.99,2692410
2021-11-30,2.99,3.01,2.95,2.96,2.96,2485379
2021-12-01,2.96,2.97,2.71,2.73,2.73,3863935
2021-12-02,2.73,2.74,2.24,2.26,2.26,7820624
2021-12-03,2.25,2.28,2.02,2.13,2.13,4752597
2021-12-04,2.13,2.16,1.8,1.84,1.84,3634210
2021-12-05,1.84,1.86,1.78,1.86,1.86,2511974
2021-12-06,1.86,2.12,1.84,2.12,2.12,3532708
2021-12-07,2.12,2.65,2.11,2.53,2.53,7052649
2021-12-08,2.53,2.77,2.47,2.73,2.73,5132068
2021-12-09,2.73,2.76,2.5,2.57,2.57,3395697
2021-12-10,2.57,2.67,2.32,2.42,2.42,7962425
2021-12-11,2.42,2.57,2.39,2.56,2.56,2027716
2021-12-12,2.56,2.71,2.53,2.65,2.65,2527106
2021-12-13,2.65,2.65,2.27,2.33,2.33,3411238
2021-12-14,2.33,2.52,2.32,2.52,2.52,2954845
2021-12-15,2.52,2.72,2.46,2.67,2.67,4515869
2021-12-16,2.67,2.71,2.46,2.47,2.47,4038688
2021-12-17,2.47,2.58,2.39,2.54,2.54,3039611
2021-12-18,2.54,2.61,2.45,2.47,2.47,1925163
2021-12-19,2.47,2.47,2.34,2.36,2.36,1597308
2021-12-20,2.36,2.38,2.27,2.29,2.29,1673913
2021-12-21,2.28,2.4,2.27,2.37,2.37,2017816
2021-12-22,2.37,2.41,2.34,2.39,2.39,2164190
2021-12-23,2.39,3.75,2.33,3.51,3.51,34059316
2021-12-24,3.51,4.22,3.5,4.13,4.13,26504069
2021-12-25,4.13,5.0,4.08,4.35,4.35,37111645
2021-12-26,4.34,4.58,4.2,4.43,4.43,17396682
2021-12-27,4.43,4.43,3.83,3.88,3.88,9982871
2021-12-28,3.88,4.13,3.82,3.87,3.87,7228874
2021-12-29,3.87,4.12,3.84,3.85,3.85,6967521
2021-12-30,3.85,3.95,3.6,3.78,3.78,9273095
2021-12-31,3.79,3.84,3.64,3.69,3.69,4544345
2022-01-01,3.69,3.8,3.66,3.8,3.8,2684555
2022-01-02,3.8,3.81,3.45,3.49,3.49,4684718
2022-01-03,3.49,3.62,3.35,3.39,3.39,4452255
2022-01-04,3.39,3.51,3.37,3.46,3.46,4828484
2022-01-05,3.46,3.52,3.3,3.34,3.34,4331936
2022-01-06,3.34,3.51,3.08,3.5,3.5,7759961
2022-01-07,3.5,3.51,3.1,3.12,3.12,6144813
2022-01-08,3.12,3.13,2.8,2.84,2.84,6085618
2022-01-09,2.84,2.84,2.68,2.77,2.77,4619406
2022-01-10,2.77,2.78,2.57,2.68,2.68,3856850
2022-01-11,2.68,2.95,2.63,2.94,2.94,4242793
2022-01-12,2.94,3.58,2.86,3.54,3.54,11390233
2022-01-13,3.54,3.97,3.41,3.68,3.68,22826844
2022-01-14,3.68,3.78,3.44,3.7,3.7,14883659
2022-01-15,3.7,3.71,3.57,3.59,3.59,7199746
2022-01-16,3.59,3.61,3.49,3.55,3.55,4535568
2022-01-17,3.55,3.55,3.19,3.28,3.28,6337629
2022-01-18,3.28,3.31,3.15,3.25,3.25,4916829
2022-01-19,3.25,3.29,3.12,3.19,3.19,4887465
2022-01-20,3.19,3.47,3.11,3.12,3.12,7828071
2022-01-21,3.11,3.7,2.95,2.98,2.98,16466044
2022-01-22,2.99,3.02,2.58,2.65,2.65,9948826
2022-01-23,2.65,2.78,2.57,2.64,2.64,4868350
2022-01-24,2.65,2.65,2.21,2.36,2.36,7287898
2022-01-25,2.36,2.36,2.19,2.24,2.24,6590889
2022-01-26,2.24,2.33,2.1,2.13,2.13,6076226
2022-01-27,2.13,2.28,2.08,2.2,2.2,4121846
2022-01-28,2.2,2.29,2.14,2.29,2.29,4287165
2022-01-29,2.29,2.69,2.29,2.69,2.69,9859711
2022-01-30,2.69,2.79,2.44,2.48,2.48,6945912
2022-01-31,2.48,2.62,2.39,2.6,2.6,5128139
2022-02-01,2.6,2.82,2.54,2.81,2.81,7023509
2022-02-02,2.81,2.83,2.67,2.73,2.73,6289748
2022-02-03,2.73,2.78,2.56,2.63,2.63,5196126
2022-02-04,2.62,2.74,2.61,2.71,2.71,6783935
2022-02-05,2.71,2.79,2.64,2.73,2.73,4739786
2022-02-06,2.73,2.79,2.71,2.79,2.79,3791771
2022-02-07,2.79,2.93,2.76,2.85,2.85,6757071
2022-02-08,2.85,2.86,2.71,2.78,2.78,4531917
2022-02-09,2.78,2.86,2.75,2.85,2.85,3982914
2022-02-10,2.85,2.85,2.7,2.81,2.81,4148815
2022-02-11,2.81,2.84,2.58,2.61,2.61,5914857
2022-02-12,2.61,2.77,2.6,2.69,2.69,7487930
2022-02-13,2.69,2.96,2.68,2.71,2.71,10934199
2022-02-14,2.71,2.73,2.64,2.68,2.68,4925193
2022-02-15,2.68,2.72,2.66,2.72,2.72,3356990
2022-02-16,2.72,2.72,2.63,2.67,2.67,3505241
2022-02-17,2.66,2.68,2.41,2.43,2.43,3935545
2022-02-18,2.44,2.5,2.4,2.46,2.46,3252696
2022-02-19,2.46,2.52,2.44,2.47,2.47,2422480
2022-02-20,2.47,2.47,2.32,2.36,2.36,2638262
2022-02-21,2.36,2.41,2.23,2.23,2.23,6042464
2022-02-22,2.23,2.5,2.2,2.46,2.46,6681600
2022-02-23,2.46,2.49,2.36,2.36,2.36,3328760
2022-02-24,2.35,2.36,2.0,2.21,2.21,2111185
2022-02-25,2.21,2.23,2.17,2.21,2.21,4680017
2022-02-26,2.21,2.25,2.18,2.25,2.25,3459542
2022-02-27,2.25,2.28,2.03,2.06,2.06,6517366
2022-02-28,2.06,2.09,1.94,2.09,2.09,6910414
2022-03-01,2.09,2.14,2.04,2.07,2.07,5280861
2022-03-02,2.07,2.09,1.97,2.02,2.02,4174576
2022-03-03,2.02,2.02,1.95,1.97,1.97,2557837
2022-03-04,1.97,1.97,1.81,1.82,1.82,3054174
2022-03-05,1.82,1.82,1.77,1.78,1.78,2195291
2022-03-06,1.78,1.78,1.61,1.62,1.62,3123933
2022-03-07,1.62,1.81,1.57,1.78,1.78,7555155
2022-03-08,1.78,2.04,1.78,1.95,1.95,9923457
2022-03-09,1.95,2.04,1.78,1.79,1.79,4479299
2022-03-10,1.79,1.85,1.72,1.83,1.83,3212220
2022-03-11,1.83,1.91,1.77,1.83,1.83,4150011
2022-03-12,1.83,1.88,1.8,1.87,1.87,3179031
2022-03-13,1.87,1.87,1.77,1.77,1.77,2328953
2022-03-14,1.77,1.82,1.74,1.82,1.82,2839160
2022-03-15,1.82,1.91,1.78,1.91,1.91,3629699
2022-03-16,1.91,1.97,1.87,1.94,1.94,3321920
2022-03-17,1.94,1.95,1.84,1.84,1.84,2849317
2022-03-18,1.84,1.86,1.81,1.86,1.86,1711794
2022-03-19,1.85,1.91,1.83,1.87,1.87,2552077
2022-03-20,1.87,1.87,1.82,1.85,1.85,1794594
2022-03-21,1.85,1.85,1.8,1.83,1.83,2052292
2022-03-22,1.83,1.88,1.83,1.83,1.83,2546390
2022-03-23,1.83,1.86,1.81,1.86,1.86,2412795
2022-03-24,1.86,1.86,1.82,1.85,1.85,2358705
2022-03-25,1.85,1.92,1.84,1.85,1.85,3196324
2022-03-26,1.85,1.91,1.85,1.9,1.9,2658329
2022-03-27,1.9,1.92,1.86,1.9,1.9,2944951
2022-03-28,1.9,2.0,1.89,1.94,1.94,5123927
2022-03-29,1.94,2.04,1.94,2.0,2.0,5094082
2022-03-30,2.0,2.01,1.92,1.94,1.94,4627472
2022-03-31,1.93,1.96,1.88,1.88,1.88,4393965
2022-04-01,1.88,1.94,1.83,1.91,1.91,4715301
2022-04-02,1.91,1.93,1.87,1.87,1.87,4606076
2022-04-03,1.87,1.9,1.87,1.89,1.89,4067387
2022-04-04,1.89,1.9,1.81,1.83,1.83,4864174
2022-04-05,1.83,1.83,1.76,1.76,1.76,4353318
2022-04-06,1.76,1.77,1.67,1.69,1.69,6526069
2022-04-07,1.69,1.84,1.69,1.83,1.83,5921711
2022-04-08,1.83,1.86,1.8,1.82,1.82,5467356
2022-04-09,1.82,1.84,1.81,1.84,1.84,3777542
