Date,Open,High,Low,Close,Adj Close,Volume
2019-01-30,3494.28,3502.76,3477.25,3496.46,3496.46,1475
2019-01-31,3496.84,3535.42,3435.29,3466.51,3466.51,19289
2019-02-01,3469.39,3517.77,3422.83,3480.77,3480.77,13640
2019-02-02,3476.34,3546.4,3459.11,3542.1,3542.1,1895
2019-02-03,3540.56,3544.67,3436.18,3477.87,3477.87,6525
2019-02-04,3481.73,3500.41,3445.64,3481.22,3481.22,3541
2019-02-05,3478.45,3492.85,3443.33,3461.87,3461.87,1522
2019-02-06,3465.3,3465.46,3330.12,3444.96,3444.96,2837
2019-02-07,3442.65,3464.21,3389.16,3395.98,3395.98,539
2019-02-08,3400.35,3760.55,3394.45,3664.84,3664.84,7174
2019-02-09,3661.55,3703.65,3616.8,3677.96,3677.96,599
2019-02-10,3675.89,3858.13,3617.36,3686.29,3686.29,2598
2019-02-11,3693.37,3709.27,3582.4,3636.49,3636.49,2703
2019-02-12,3630.57,3721.28,3583.0,3664.99,3664.99,1060
2019-02-13,3664.46,3739.78,3599.57,3641.12,3641.12,3996
2019-02-14,3638.43,3689.82,3580.1,3611.82,3611.82,888
2019-02-15,3610.24,3670.51,3587.31,3629.2,3629.2,73
2019-02-16,3634.65,3670.46,3609.23,3644.54,3644.54,948
2019-02-17,3641.88,3787.97,3587.12,3705.29,3705.29,1740
2019-02-18,3693.86,3934.01,3687.71,3909.03,3909.03,12638
2019-02-19,3911.87,3988.46,3858.83,3869.74,3869.74,853
2019-02-20,3866.16,4055.46,3833.45,4055.46,4055.46,2776
2019-02-21,4053.34,4053.34,3902.08,3978.72,3978.72,1571
2019-02-22,3980.4,4033.53,3926.61,4018.19,4018.19,1725
2019-02-23,4010.54,4166.84,3986.69,4166.84,4166.84,5540
2019-02-24,4167.25,4329.92,3638.23,3659.93,3659.93,7180
2019-02-25,3635.35,3943.29,3635.35,3865.78,3865.78,9979
2019-02-26,3863.33,3904.57,3813.61,3904.57,3904.57,4911
2019-02-27,3903.92,3915.75,3727.82,3903.79,3903.79,10917
2019-02-28,3902.08,3948.53,3848.97,3854.59,3854.59,1456
2019-03-01,3854.47,3924.74,3824.55,3858.35,3858.35,816
2019-03-02,3854.44,3931.38,3780.35,3871.58,3871.58,2372
2019-03-03,3885.56,3918.6,3796.46,3824.17,3824.17,13356
2019-03-04,3821.19,3893.58,3735.1,3759.72,3759.72,16895
