Date,Open,High,Low,Close,Adj Close,Volume
2022-03-05,0.06,0.06,0.06,0.06,0.06,1242664
2022-03-06,0.06,0.06,0.06,0.06,0.06,1147624
2022-03-07,0.06,0.06,0.06,0.06,0.06,1896907
2022-03-08,0.06,0.06,0.06,0.06,0.06,1658131
2022-03-09,0.06,0.06,0.06,0.06,0.06,2175214
2022-03-10,0.06,0.06,0.06,0.06,0.06,1858501
2022-03-11,0.06,0.06,0.06,0.06,0.06,1303350
2022-03-12,0.06,0.06,0.06,0.06,0.06,561360
2022-03-13,0.06,0.06,0.06,0.06,0.06,737720
2022-03-14,0.06,0.06,0.06,0.06,0.06,777372
2022-03-15,0.06,0.06,0.06,0.06,0.06,789609
2022-03-16,0.06,0.06,0.06,0.06,0.06,1338086
2022-03-17,0.06,0.06,0.06,0.06,0.06,223365
2022-03-18,0.06,0.06,0.06,0.06,0.06,787567
2022-03-19,0.06,0.06,0.06,0.06,0.06,439634
2022-03-20,0.06,0.06,0.06,0.06,0.06,1089969
2022-03-21,0.06,0.06,0.06,0.06,0.06,638991
2022-03-22,0.06,0.06,0.06,0.06,0.06,1190914
2022-03-23,0.06,0.06,0.06,0.06,0.06,1426170
2022-03-24,0.06,0.07,0.06,0.07,0.07,1541641
2022-03-25,0.07,0.07,0.06,0.06,0.06,1330499
2022-03-26,0.06,0.07,0.06,0.07,0.07,771033
2022-03-27,0.07,0.07,0.07,0.07,0.07,2211063
2022-03-28,0.07,0.07,0.07,0.07,0.07,2411396
2022-03-29,0.07,0.07,0.07,0.07,0.07,2680659
2022-03-30,0.07,0.07,0.07,0.07,0.07,4713754
2022-03-31,0.07,0.08,0.07,0.07,0.07,7567278
2022-04-01,0.07,0.07,0.07,0.07,0.07,3103260
2022-04-02,0.07,0.08,0.07,0.07,0.07,2140077
2022-04-03,0.07,0.07,0.07,0.07,0.07,1081640
2022-04-04,0.07,0.07,0.07,0.07,0.07,1836048
2022-04-05,0.07,0.07,0.07,0.07,0.07,1158842
2022-04-06,0.07,0.07,0.06,0.06,0.06,3230909
2022-04-07,0.06,0.06,0.06,0.06,0.06,2418304
2022-04-08,0.06,0.06,0.06,0.06,0.06,2177919
2022-04-09,0.06,0.06,0.06,0.06,0.06,1338307
2022-04-10,0.06,0.06,0.06,0.06,0.06,1250991
2022-04-11,0.06,0.06,0.06,0.06,0.06,2338105
2022-04-12,0.06,0.06,0.06,0.06,0.06,1509135
2022-04-13,0.06,0.06,0.06,0.06,0.06,1147581
2022-04-14,0.06,0.06,0.06,0.06,0.06,1189278
2022-04-15,0.06,0.06,0.06,0.06,0.06,885534
2022-04-16,0.06,0.06,0.06,0.06,0.06,633122
2022-04-17,0.06,0.06,0.06,0.06,0.06,904619
2022-04-18,0.06,0.06,0.06,0.06,0.06,1532610
2022-04-19,0.06,0.06,0.06,0.06,0.06,749970
2022-04-20,0.06,0.06,0.06,0.06,0.06,925011
2022-04-21,0.06,0.07,0.06,0.07,0.07,11885764
2022-04-22,0.07,0.07,0.07,0.07,0.07,7508945
2022-04-23,0.07,0.07,0.07,0.07,0.07,2040271
2022-04-24,0.07,0.07,0.06,0.07,0.07,1730090
2022-04-25,0.07,0.07,0.06,0.07,0.07,2325550
2022-04-26,0.07,0.07,0.06,0.06,0.06,1787105
2022-04-27,0.06,0.06,0.06,0.06,0.06,1673226
2022-04-28,0.06,0.06,0.06,0.06,0.06,1244586
2022-04-29,0.06,0.07,0.06,0.06,0.06,6315737
2022-04-30,0.06,0.07,0.06,0.06,0.06,3598792
