Date,Open,High,Low,Close,Adj Close,Volume
2020-12-23,594.09,617.95,564.96,588.66,588.66,64860
2020-12-24,588.69,613.33,551.78,611.79,611.79,53526
2020-12-25,611.76,626.4,600.42,626.14,626.14,45601
2020-12-26,626.15,642.75,610.43,627.47,627.47,10297
2020-12-27,627.47,707.75,617.72,682.47,682.47,90078
2020-12-28,682.47,742.25,681.35,727.07,727.07,2304
2020-12-29,727.08,733.03,684.05,720.87,720.87,116889
2020-12-30,720.85,730.25,692.7,720.62,720.62,95180
2020-12-31,720.6,748.78,703.29,731.03,731.03,81185
2021-01-01,731.03,742.01,712.74,722.17,722.17,5093
2021-01-02,722.18,775.41,710.51,763.08,763.08,33974
2021-01-03,763.16,977.11,759.69,952.2,952.2,35084
2021-01-04,952.17,1131.82,915.19,991.25,991.25,289731
2021-01-05,991.23,1122.01,931.33,1103.26,1103.26,425083
2021-01-06,1103.7,1181.43,1063.99,1181.43,1181.43,37248
2021-01-07,1181.36,1269.74,1135.38,1214.64,1214.64,32000
2021-01-08,1215.41,1334.82,1078.9,1228.19,1228.19,57019
2021-01-09,1228.19,1301.06,1158.05,1247.87,1247.87,17155
2021-01-10,1247.93,1343.88,1210.18,1281.68,1281.68,27993
2021-01-11,1281.69,1283.8,934.26,1095.7,1095.7,41918
2021-01-12,1095.79,1133.73,1000.98,1034.85,1034.85,22283
2021-01-13,1034.78,1148.29,797.67,1138.37,1138.37,56553
2021-01-14,1138.39,1229.11,1121.49,1211.48,1211.48,68022
2021-01-15,1211.73,1238.03,1091.79,1170.95,1170.95,295924
2021-01-16,1170.87,1286.35,1156.92,1224.34,1224.34,83899
2021-01-17,1223.4,1247.24,1159.23,1197.76,1197.76,15937
2021-01-18,1198.09,1226.79,1165.23,1226.34,1226.34,95182
2021-01-19,1224.85,1415.55,1222.38,1358.81,1358.81,26024
2021-01-20,1354.38,1379.2,1228.93,1342.86,1342.86,8876
2021-01-21,1342.22,1342.22,1092.51,1118.63,1118.63,12499
2021-01-22,1115.11,1311.23,1040.86,1222.07,1222.07,17611
2021-01-23,1222.15,1267.66,1197.52,1230.17,1230.17,13234
2021-01-24,1230.35,1343.75,1226.19,1341.55,1341.55,8732
2021-01-25,1341.33,1483.99,1308.2,1330.4,1330.4,2899
2021-01-26,1330.37,1381.41,1251.65,1351.96,1351.96,57576
2021-01-27,1354.6,1365.59,1215.3,1253.26,1253.26,717095
2021-01-28,1253.19,1356.34,1226.17,1333.48,1333.48,142652
2021-01-29,1369.28,1426.26,1292.48,1363.72,1363.72,288
2021-01-30,1363.71,1380.43,1266.48,1336.99,1336.99,2892
2021-01-31,1337.26,1398.36,1274.95,1326.36,1326.36,19256
2021-02-01,1326.36,1373.23,1262.88,1371.2,1371.2,303434
2021-02-02,1368.2,1543.51,1363.77,1515.11,1515.11,1641086
2021-02-03,1516.79,1657.4,1510.87,1657.4,1657.4,231308
2021-02-04,1657.64,1685.83,1558.86,1594.27,1594.27,180439
2021-02-05,1594.19,1759.03,1594.19,1719.56,1719.56,170494
2021-02-06,1720.28,1738.87,1636.27,1677.89,1677.89,1176535
2021-02-07,1677.7,1689.66,1502.44,1614.65,1614.65,131391
2021-02-08,1614.85,1765.31,1572.12,1747.39,1747.39,229327
2021-02-09,1747.09,1814.22,1720.16,1762.41,1762.41,668181
