Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.0,0.0,0.0,0.0,0.0,2924350
2017-11-10,0.0,0.0,0.0,0.0,0.0,2193620
2017-11-11,0.0,0.0,0.0,0.0,0.0,1748460
2017-11-12,0.0,0.0,0.0,0.0,0.0,2174370
2017-11-13,0.0,0.0,0.0,0.0,0.0,2889150
2017-11-14,0.0,0.0,0.0,0.0,0.0,4040400
2017-11-15,0.0,0.0,0.0,0.0,0.0,5008060
2017-11-16,0.0,0.0,0.0,0.0,0.0,5082450
2017-11-17,0.0,0.0,0.0,0.0,0.0,5720510
2017-11-18,0.0,0.0,0.0,0.0,0.0,5709820
2017-11-19,0.0,0.0,0.0,0.0,0.0,4289470
2017-11-20,0.0,0.0,0.0,0.0,0.0,3909200
2017-11-21,0.0,0.0,0.0,0.0,0.0,3417520
2017-11-22,0.0,0.0,0.0,0.0,0.0,4119730
2017-11-23,0.0,0.0,0.0,0.0,0.0,4402340
2017-11-24,0.0,0.0,0.0,0.0,0.0,4204470
2017-11-25,0.0,0.0,0.0,0.0,0.0,4704770
2017-11-26,0.0,0.0,0.0,0.0,0.0,6245890
2017-11-27,0.0,0.0,0.0,0.0,0.0,6405580
2017-11-28,0.0,0.0,0.0,0.0,0.0,6065010
2017-11-29,0.0,0.0,0.0,0.0,0.0,7852660
2017-11-30,0.0,0.0,0.0,0.0,0.0,4155450
2017-12-01,0.0,0.0,0.0,0.0,0.0,6294070
2017-12-02,0.0,0.0,0.0,0.0,0.0,5760180
2017-12-03,0.0,0.0,0.0,0.0,0.0,7261200
2017-12-04,0.0,0.0,0.0,0.0,0.0,10447300
2017-12-05,0.0,0.0,0.0,0.0,0.0,8749920
2017-12-06,0.0,0.0,0.0,0.0,0.0,33314700
2017-12-07,0.0,0.01,0.0,0.0,0.0,44215300
2017-12-08,0.0,0.0,0.0,0.0,0.0,21605600
2017-12-09,0.0,0.0,0.0,0.0,0.0,17520500
2017-12-10,0.0,0.0,0.0,0.0,0.0,18145200
2017-12-11,0.0,0.01,0.0,0.01,0.01,20137200
2017-12-12,0.01,0.01,0.0,0.01,0.01,48699100
2017-12-13,0.01,0.02,0.01,0.02,0.02,174319008
2017-12-14,0.02,0.02,0.02,0.02,0.02,192816992
2017-12-15,0.02,0.02,0.01,0.02,0.02,139710000
2017-12-16,0.02,0.04,0.02,0.04,0.04,336496000
2017-12-17,0.04,0.04,0.03,0.04,0.04,338444992
2017-12-18,0.04,0.05,0.03,0.04,0.04,369401984
2017-12-19,0.04,0.05,0.04,0.05,0.05,235095008
2017-12-20,0.05,0.05,0.04,0.05,0.05,317193984
2017-12-21,0.05,0.07,0.04,0.05,0.05,460308000
2017-12-22,0.05,0.05,0.02,0.04,0.04,494380000
2017-12-23,0.04,0.06,0.04,0.05,0.05,503996992
2017-12-24,0.05,0.05,0.03,0.04,0.04,230931008
2017-12-25,0.04,0.04,0.03,0.04,0.04,189610000
2017-12-26,0.04,0.05,0.03,0.04,0.04,263744992
2017-12-27,0.04,0.04,0.04,0.04,0.04,173156000
2017-12-28,0.04,0.04,0.03,0.04,0.04,261940992
2017-12-29,0.04,0.04,0.03,0.04,0.04,246896992
2017-12-30,0.04,0.04,0.03,0.04,0.04,256698000
2017-12-31,0.04,0.05,0.03,0.04,0.04,375152000
2018-01-01,0.04,0.05,0.04,0.05,0.05,516798016
2018-01-02,0.05,0.09,0.05,0.08,0.08,1604039936
2018-01-03,0.08,0.09,0.07,0.09,0.09,1136850048
2018-01-04,0.09,0.22,0.09,0.21,0.21,4089410048
2018-01-05,0.21,0.3,0.18,0.22,0.22,3864399872
2018-01-06,0.22,0.23,0.14,0.17,0.17,2437349888
2018-01-07,0.17,0.2,0.15,0.2,0.2,1750349952
2018-01-08,0.21,0.21,0.13,0.15,0.15,1532320000
2018-01-09,0.15,0.16,0.11,0.12,0.12,1262109952
2018-01-10,0.13,0.14,0.1,0.13,0.13,1729920000
2018-01-11,0.13,0.13,0.1,0.11,0.11,1074579968
2018-01-12,0.11,0.11,0.1,0.11,0.11,679499008
2018-01-13,0.11,0.12,0.1,0.1,0.1,819091008
2018-01-14,0.1,0.1,0.08,0.08,0.08,714278976
2018-01-15,0.08,0.1,0.07,0.08,0.08,1013430016
2018-01-16,0.08,0.08,0.04,0.05,0.05,695308992
2018-01-17,0.05,0.08,0.04,0.08,0.08,1326569984
2018-01-18,0.08,0.11,0.07,0.08,0.08,1392329984
2018-01-19,0.08,0.09,0.07,0.08,0.08,706521984
2018-01-20,0.08,0.09,0.08,0.09,0.09,626438976
2018-01-21,0.08,0.09,0.07,0.07,0.07,561259008
2018-01-22,0.07,0.08,0.06,0.07,0.07,623766976
2018-01-23,0.07,0.07,0.06,0.07,0.07,409592000
2018-01-24,0.07,0.07,0.07,0.07,0.07,505468992
2018-01-25,0.07,0.07,0.07,0.07,0.07,362497984
2018-01-26,0.07,0.07,0.06,0.07,0.07,381401984
2018-01-27,0.07,0.07,0.06,0.07,0.07,282556992
2018-01-28,0.07,0.07,0.07,0.07,0.07,276320992
2018-01-29,0.07,0.07,0.06,0.06,0.06,256876000
2018-01-30,0.06,0.06,0.05,0.05,0.05,267126000
2018-01-31,0.05,0.05,0.05,0.05,0.05,251080992
2018-02-01,0.05,0.06,0.04,0.05,0.05,288656000
2018-02-02,0.05,0.05,0.03,0.04,0.04,363928992
2018-02-03,0.04,0.05,0.04,0.04,0.04,241928992
2018-02-04,0.04,0.05,0.04,0.04,0.04,169960992
2018-02-05,0.04,0.04,0.03,0.03,0.03,167296992
2018-02-06,0.03,0.04,0.03,0.04,0.04,271110016
2018-02-07,0.04,0.04,0.03,0.03,0.03,204200000
2018-02-08,0.03,0.04,0.03,0.04,0.04,193436992
2018-02-09,0.04,0.05,0.03,0.05,0.05,176363008
2018-02-10,0.05,0.06,0.04,0.05,0.05,470408992
2018-02-11,0.05,0.05,0.04,0.04,0.04,273583008
2018-02-12,0.04,0.05,0.04,0.05,0.05,219120000
2018-02-13,0.05,0.05,0.04,0.04,0.04,178960992
2018-02-14,0.04,0.05,0.04,0.05,0.05,186660000
2018-02-15,0.05,0.05,0.05,0.05,0.05,178912992
2018-02-16,0.05,0.05,0.05,0.05,0.05,310512992
2018-02-17,0.05,0.05,0.05,0.05,0.05,231988000
2018-02-18,0.05,0.06,0.05,0.05,0.05,195043008
2018-02-19,0.05,0.05,0.05,0.05,0.05,178480992
2018-02-20,0.05,0.05,0.05,0.05,0.05,198212992
2018-02-21,0.05,0.05,0.04,0.04,0.04,179052992
