Date,Open,High,Low,Close,Adj Close,Volume
2018-10-08,1.0,1.01,1.0,1.0,1.0,382900
2018-10-09,1.0,1.01,1.0,1.01,1.01,108803
2018-10-10,1.0,1.02,1.0,1.01,1.01,711783
2018-10-11,1.01,1.03,1.0,1.01,1.01,4177290
2018-10-12,1.01,1.02,1.0,1.01,1.01,1322240
2018-10-13,1.01,1.02,1.0,1.01,1.01,698507
2018-10-14,1.01,1.02,1.0,1.02,1.02,982750
2018-10-15,1.02,1.11,1.0,1.03,1.03,10660400
2018-10-16,1.03,1.04,1.02,1.02,1.02,2124080
2018-10-17,1.02,1.03,1.01,1.01,1.01,1102740
2018-10-18,1.01,1.02,1.01,1.01,1.01,1182450
2018-10-19,1.01,1.02,1.01,1.01,1.01,715078
2018-10-20,1.01,1.01,1.0,1.01,1.01,299871
2018-10-21,1.01,1.02,1.0,1.01,1.01,509276
2018-10-22,1.01,1.02,1.0,1.01,1.01,1211160
2018-10-23,1.01,1.02,1.01,1.01,1.01,1503840
2018-10-24,1.01,1.01,1.0,1.01,1.01,923940
2018-10-25,1.01,1.01,1.0,1.01,1.01,1365520
2018-10-26,1.01,1.02,1.0,1.01,1.01,950623
2018-10-27,1.01,1.01,1.0,1.01,1.01,712963
2018-10-28,1.01,1.01,1.0,1.01,1.01,282707
2018-10-29,1.01,1.02,1.01,1.01,1.01,1983680
2018-10-30,1.01,1.01,1.0,1.0,1.0,715882
2018-10-31,1.01,1.01,0.99,1.0,1.0,1279360
2018-11-01,1.0,1.02,0.99,0.99,0.99,1800480
2018-11-02,0.99,1.01,0.99,1.0,1.0,2042390
2018-11-03,1.0,1.01,1.0,1.0,1.0,1402480
2018-11-04,1.0,1.01,0.98,1.0,1.0,2144200
2018-11-05,1.0,1.01,1.0,1.0,1.0,1287400
2018-11-06,1.0,1.01,1.0,1.0,1.0,2241070
2018-11-07,1.0,1.01,1.0,1.0,1.0,2589880
2018-11-08,1.0,1.01,1.0,1.0,1.0,3423190
2018-11-09,1.0,1.01,1.0,1.01,1.01,3478250
2018-11-10,1.01,1.03,1.0,1.01,1.01,2497760
2018-11-11,1.01,1.02,1.0,1.01,1.01,4726130
2018-11-12,1.01,1.02,1.0,1.01,1.01,6446540
2018-11-13,1.01,1.02,1.0,1.01,1.01,6483310
2018-11-14,1.02,1.04,1.0,1.02,1.02,24013300
2018-11-15,1.02,1.06,1.01,1.02,1.02,18776600
2018-11-16,1.02,1.04,1.01,1.03,1.03,9247040
2018-11-17,1.03,1.04,1.01,1.01,1.01,5537380
2018-11-18,1.01,1.01,1.0,1.01,1.01,5735460
2018-11-19,1.01,1.05,1.0,1.02,1.02,27873100
2018-11-20,1.02,1.06,1.01,1.02,1.02,43293600
2018-11-21,1.02,1.03,1.01,1.01,1.01,20164000
2018-11-22,1.01,1.02,1.01,1.02,1.02,11556600
2018-11-23,1.02,1.03,1.01,1.02,1.02,17717500
2018-11-24,1.02,1.04,1.01,1.02,1.02,19409700
2018-11-25,1.03,1.04,0.99,1.03,1.03,23476200
2018-11-26,1.02,1.06,1.02,1.04,1.04,29734800
2018-11-27,1.03,1.04,1.0,1.01,1.01,13622700
2018-11-28,1.01,1.03,1.0,1.01,1.01,23327400
2018-11-29,1.01,1.02,1.0,1.01,1.01,18025473
2018-11-30,1.01,1.02,1.0,1.01,1.01,14143221
2018-12-01,1.01,1.03,1.0,1.01,1.01,14198649
2018-12-02,1.01,1.03,0.99,1.01,1.01,10761895
2018-12-03,1.01,1.02,1.0,1.01,1.01,12188098
2018-12-04,1.01,1.02,1.0,1.01,1.01,12556999
2018-12-05,1.01,1.02,1.0,1.01,1.01,14257800
2018-12-06,1.01,1.02,1.0,1.02,1.02,21637768
2018-12-07,1.02,1.03,1.0,1.01,1.01,29947363
2018-12-08,1.01,1.03,1.01,1.02,1.02,17724714
2018-12-09,1.02,1.03,1.01,1.02,1.02,14831259
2018-12-10,1.02,1.03,1.01,1.02,1.02,12987868
2018-12-11,1.03,1.04,1.02,1.02,1.02,12104531
2018-12-12,1.02,1.04,0.99,1.02,1.02,10392693
2018-12-13,1.04,1.04,0.98,1.02,1.02,8569160
2018-12-14,1.02,1.03,1.01,1.02,1.02,11571584
2018-12-15,1.02,1.02,1.0,1.0,1.0,8595919
2018-12-16,1.0,1.04,1.0,1.01,1.01,9383751
2018-12-17,1.03,1.03,1.0,1.01,1.01,18392475
2018-12-18,1.01,1.02,1.0,1.01,1.01,24572396
2018-12-19,1.01,1.02,1.0,1.02,1.02,46352135
2018-12-20,1.02,1.02,1.01,1.02,1.02,58976758
2018-12-21,1.02,1.02,1.01,1.02,1.02,46603504
2018-12-22,1.01,1.02,1.0,1.01,1.01,26222950
2018-12-23,1.01,1.02,1.01,1.01,1.01,23629168
2018-12-24,1.01,1.02,1.0,1.01,1.01,43621601
2018-12-25,1.01,1.03,1.01,1.01,1.01,27610569
2018-12-26,1.01,1.02,1.01,1.01,1.01,19786403
2018-12-27,1.02,1.03,1.01,1.02,1.02,23019282
2018-12-28,1.02,1.02,0.98,1.01,1.01,28974098
2018-12-29,1.01,1.04,1.0,1.02,1.02,22783697
2018-12-30,1.02,1.03,1.01,1.01,1.01,18537225
2018-12-31,1.01,1.03,1.01,1.02,1.02,20975704
2019-01-01,1.02,1.02,1.01,1.01,1.01,17007853
2019-01-02,1.01,1.02,1.01,1.02,1.02,18125812
2019-01-03,1.01,1.02,1.01,1.01,1.01,15279811
2019-01-04,1.02,1.02,1.0,1.01,1.01,17203036
2019-01-05,1.01,1.02,1.0,1.01,1.01,15428171
2019-01-06,1.01,1.02,0.99,1.01,1.01,18503989
2019-01-07,1.01,1.01,1.0,1.01,1.01,18697630
2019-01-08,1.01,1.02,1.0,1.01,1.01,23189996
2019-01-09,1.01,1.01,1.0,1.0,1.0,23000567
2019-01-10,1.0,1.03,1.0,1.01,1.01,51534670
2019-01-11,1.02,1.02,1.01,1.01,1.01,25279715
2019-01-12,1.01,1.02,1.01,1.01,1.01,12617410
2019-01-13,1.01,1.03,1.01,1.01,1.01,16808894
2019-01-14,1.01,1.02,1.0,1.01,1.01,25825886
2019-01-15,1.01,1.02,1.01,1.01,1.01,26459207
2019-01-16,1.01,1.02,1.01,1.01,1.01,25957206
2019-01-17,1.01,1.04,1.01,1.03,1.03,41708422
2019-01-18,1.03,1.04,1.01,1.01,1.01,18899249
2019-01-19,1.01,1.01,1.0,1.01,1.01,15830400
2019-01-20,1.01,1.03,1.01,1.02,1.02,14934092
2019-01-21,1.02,1.02,1.01,1.01,1.01,12277261
2019-01-22,1.01,1.02,1.01,1.01,1.01,18848807
2019-01-23,1.01,1.01,1.01,1.01,1.01,14686835
2019-01-24,1.01,1.01,1.01,1.01,1.01,19309437
2019-01-25,1.01,1.01,1.01,1.01,1.01,16078526
2019-01-26,1.01,1.02,1.01,1.01,1.01,12311593
2019-01-27,1.01,1.02,1.01,1.01,1.01,17334193
2019-01-28,1.01,1.02,1.01,1.01,1.01,34421448
2019-01-29,1.01,1.02,1.01,1.01,1.01,26620698
2019-01-30,1.01,1.02,1.01,1.01,1.01,28233801
2019-01-31,1.01,1.02,1.0,1.01,1.01,30016994
2019-02-01,1.01,1.03,1.01,1.02,1.02,26896947
2019-02-02,1.01,1.02,1.01,1.02,1.02,23207115
2019-02-03,1.02,1.02,1.01,1.01,1.01,26365349
2019-02-04,1.01,1.02,1.01,1.01,1.01,24242526
2019-02-05,1.01,1.01,1.01,1.01,1.01,19011789
2019-02-06,1.01,1.02,1.01,1.01,1.01,27032564
2019-02-07,1.01,1.02,1.01,1.01,1.01,15429983
2019-02-08,1.01,1.02,1.01,1.02,1.02,31291520
2019-02-09,1.02,1.02,1.01,1.01,1.01,21523062
2019-02-10,1.01,1.02,1.01,1.01,1.01,19451268
2019-02-11,1.02,1.02,1.01,1.01,1.01,19063318
2019-02-12,1.01,1.02,1.01,1.02,1.02,28682063
2019-02-13,1.02,1.02,1.01,1.01,1.01,27483515
2019-02-14,1.01,1.02,1.01,1.01,1.01,27582140
2019-02-15,1.01,1.02,1.0,1.01,1.01,35775279
2019-02-16,1.01,1.02,1.01,1.01,1.01,44255529
2019-02-17,1.01,1.03,1.01,1.02,1.02,45168007
2019-02-18,1.02,1.03,1.0,1.01,1.01,51464756
2019-02-19,1.01,1.02,1.0,1.0,1.0,49393554
2019-02-20,1.0,1.02,1.0,1.02,1.02,41527390
2019-02-21,1.02,1.02,1.01,1.01,1.01,35317064
2019-02-22,1.01,1.02,1.01,1.02,1.02,32159403
2019-02-23,1.01,1.04,1.01,1.01,1.01,36243964
2019-02-24,1.01,1.03,1.0,1.01,1.01,51756152
2019-02-25,1.0,1.02,1.0,1.02,1.02,52796841
2019-02-26,1.02,1.02,1.01,1.01,1.01,42569527
2019-02-27,1.01,1.02,1.01,1.02,1.02,38328217
2019-02-28,1.02,1.02,1.01,1.01,1.01,31630079
2019-03-01,1.01,1.02,1.01,1.01,1.01,21097111
2019-03-02,1.01,1.02,1.01,1.01,1.01,18482080
2019-03-03,1.01,1.01,1.01,1.01,1.01,17429846
2019-03-04,1.01,1.02,1.01,1.02,1.02,23960578
2019-03-05,1.02,1.02,1.01,1.02,1.02,32016571
2019-03-06,1.02,1.02,1.01,1.01,1.01,24347412
2019-03-07,1.01,1.02,1.01,1.01,1.01,24225454
2019-03-08,1.01,1.02,1.01,1.01,1.01,27535813
2019-03-09,1.01,1.02,1.01,1.01,1.01,24550954
2019-03-10,1.01,1.02,1.01,1.02,1.02,21622742
2019-03-11,1.02,1.02,1.01,1.01,1.01,25473881
2019-03-12,1.01,1.02,1.01,1.01,1.01,25249458
2019-03-13,1.01,1.02,1.01,1.01,1.01,32955078
2019-03-14,1.01,1.02,1.01,1.02,1.02,30654411
2019-03-15,1.02,1.02,1.01,1.02,1.02,30356979
2019-03-16,1.02,1.02,1.01,1.02,1.02,35637112
2019-03-17,1.02,1.02,1.01,1.02,1.02,38655614
2019-03-18,1.02,1.02,1.01,1.02,1.02,41889761
2019-03-19,1.02,1.02,1.01,1.02,1.02,34394867
2019-03-20,1.02,1.02,1.01,1.01,1.01,43164011
2019-03-21,1.01,1.02,1.01,1.01,1.01,43135935
2019-03-22,1.01,1.02,1.01,1.01,1.01,33465329
2019-03-23,1.01,1.02,1.01,1.01,1.01,23348602
2019-03-24,1.01,1.01,1.0,1.01,1.01,17336324
2019-03-25,1.01,1.02,1.01,1.01,1.01,34431703
2019-03-26,1.01,1.02,1.01,1.01,1.01,33876854
2019-03-27,1.01,1.02,1.01,1.02,1.02,37698423
2019-03-28,1.02,1.02,1.01,1.01,1.01,28392576
2019-03-29,1.01,1.02,1.0,1.0,1.0,37377861
