Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.22,0.22,0.21,0.22,0.22,147916992
2017-11-10,0.22,0.22,0.21,0.21,0.21,141032992
2017-11-11,0.21,0.21,0.21,0.21,0.21,134503008
2017-11-12,0.21,0.21,0.2,0.2,0.2,251175008
2017-11-13,0.2,0.2,0.2,0.2,0.2,132567000
2017-11-14,0.2,0.21,0.2,0.21,0.21,127361000
2017-11-15,0.21,0.21,0.21,0.21,0.21,100294000
2017-11-16,0.21,0.27,0.21,0.23,0.23,1022579968
2017-11-17,0.22,0.24,0.22,0.23,0.23,397071008
2017-11-18,0.23,0.23,0.22,0.23,0.23,144298000
2017-11-19,0.23,0.24,0.23,0.23,0.23,193808000
2017-11-20,0.23,0.24,0.23,0.24,0.24,214663008
2017-11-21,0.24,0.24,0.23,0.23,0.23,217851008
2017-11-22,0.23,0.24,0.23,0.24,0.24,167078000
2017-11-23,0.24,0.25,0.24,0.24,0.24,240684992
2017-11-24,0.24,0.25,0.24,0.24,0.24,211486000
2017-11-25,0.24,0.26,0.24,0.25,0.25,212592992
2017-11-26,0.25,0.25,0.25,0.25,0.25,133297000
2017-11-27,0.25,0.25,0.25,0.25,0.25,196735008
2017-11-28,0.25,0.3,0.25,0.3,0.3,720742976
2017-11-29,0.3,0.3,0.24,0.24,0.24,541177984
2017-11-30,0.25,0.26,0.23,0.25,0.25,270907008
2017-12-01,0.25,0.26,0.24,0.26,0.26,182992000
2017-12-02,0.26,0.26,0.25,0.26,0.26,118250000
2017-12-03,0.26,0.26,0.25,0.25,0.25,134710000
2017-12-04,0.25,0.26,0.25,0.25,0.25,104650000
2017-12-05,0.25,0.25,0.25,0.25,0.25,174591008
2017-12-06,0.25,0.25,0.23,0.23,0.23,274526016
2017-12-07,0.23,0.23,0.22,0.22,0.22,275204992
2017-12-08,0.22,0.28,0.22,0.25,0.25,660172032
2017-12-09,0.25,0.26,0.24,0.24,0.24,205288992
2017-12-10,0.25,0.25,0.23,0.24,0.24,198174000
2017-12-11,0.24,0.25,0.24,0.25,0.25,176100992
2017-12-12,0.25,0.43,0.25,0.37,0.37,1555040000
2017-12-13,0.37,0.51,0.34,0.47,0.47,2738759936
2017-12-14,0.47,0.89,0.47,0.86,0.86,6358700032
2017-12-15,0.86,0.86,0.67,0.76,0.76,3194210048
2017-12-16,0.76,0.82,0.74,0.76,0.76,1334770048
2017-12-17,0.75,0.77,0.72,0.73,0.73,805200000
2017-12-18,0.73,0.79,0.69,0.78,0.78,1342720000
2017-12-19,0.78,0.86,0.76,0.79,0.79,1449670016
2017-12-20,0.79,0.79,0.73,0.78,0.78,1007420032
2017-12-21,0.78,1.24,0.78,1.19,1.19,3626109952
2017-12-22,1.17,1.38,0.74,1.14,1.14,4644700160
2017-12-23,1.17,1.21,1.08,1.17,1.17,1497590016
2017-12-24,1.18,1.18,0.91,1.04,1.04,754958976
2017-12-25,1.05,1.13,1.0,1.12,1.12,686014016
2017-12-26,1.12,1.19,1.09,1.19,1.19,938846976
2017-12-27,1.18,1.47,1.18,1.4,1.4,2854259968
2017-12-28,1.39,1.5,1.26,1.43,1.43,2843300096
2017-12-29,1.44,2.27,1.44,2.21,2.21,7545739776
2017-12-30,2.2,2.85,2.04,2.16,2.16,8108389888
2017-12-31,2.1,2.39,1.87,2.3,2.3,4642079744
2018-01-01,2.3,2.39,2.15,2.39,2.39,1894230016
2018-01-02,2.37,2.49,2.25,2.48,2.48,3171010048
2018-01-03,2.46,3.28,2.44,3.11,3.11,6635879936
2018-01-04,3.12,3.84,3.12,3.2,3.2,8103660032
2018-01-05,3.3,3.56,2.83,3.05,3.05,6288500224
2018-01-06,3.02,3.24,2.99,3.09,3.09,2777560064
2018-01-07,3.09,3.49,3.08,3.38,3.38,2395150080
2018-01-08,3.36,3.36,2.07,2.46,2.46,3315259904
2018-01-09,2.44,2.53,1.98,2.1,2.1,3694700032
2018-01-10,2.13,2.16,1.7,1.97,1.97,4833639936
2018-01-11,1.98,2.25,1.62,1.95,1.95,6296119808
2018-01-12,1.94,2.16,1.87,2.04,2.04,3330810112
2018-01-13,2.05,2.12,1.98,2.02,2.02,2130169984
2018-01-14,2.02,2.02,1.81,1.86,1.86,1978200064
2018-01-15,1.86,1.9,1.67,1.68,1.68,1838460032
2018-01-16,1.68,1.7,0.91,1.18,1.18,5687960064
2018-01-17,1.18,1.38,0.9,1.31,1.31,7251210240
2018-01-18,1.31,1.73,1.26,1.6,1.6,9110439936
2018-01-19,1.58,1.7,1.5,1.55,1.55,3697430016
2018-01-20,1.56,1.63,1.5,1.58,1.58,2346449920
2018-01-21,1.58,1.58,1.34,1.38,1.38,2840750080
2018-01-22,1.39,1.43,1.16,1.36,1.36,2642510080
2018-01-23,1.35,1.43,1.2,1.34,1.34,2977080064
2018-01-24,1.35,1.42,1.31,1.36,1.36,1853440000
2018-01-25,1.36,1.38,1.29,1.31,1.31,986067968
2018-01-26,1.31,1.33,1.13,1.22,1.22,2037570048
2018-01-27,1.22,1.24,1.19,1.22,1.22,689100992
2018-01-28,1.22,1.44,1.22,1.4,1.4,1327360000
2018-01-29,1.4,1.41,1.3,1.32,1.32,1073680000
2018-01-30,1.33,1.33,1.13,1.14,1.14,1134640000
2018-01-31,1.13,1.19,1.04,1.16,1.16,1264029952
2018-02-01,1.16,1.16,0.93,0.96,0.96,1410419968
2018-02-02,0.96,0.96,0.64,0.88,0.88,3529760000
2018-02-03,0.89,0.97,0.76,0.92,0.92,1988960000
2018-02-04,0.91,0.95,0.8,0.82,0.82,1190960000
2018-02-05,0.83,0.83,0.68,0.69,0.69,1286179968
2018-02-06,0.71,0.79,0.59,0.78,0.78,2361139968
2018-02-07,0.77,0.81,0.71,0.72,0.72,1133369984
2018-02-08,0.73,0.81,0.72,0.81,0.81,947315008
2018-02-09,0.8,0.95,0.77,0.95,0.95,1690339968
2018-02-10,0.95,1.3,0.95,1.07,1.07,4682010112
2018-02-11,1.07,1.08,0.93,1.0,1.0,2555310080
2018-02-12,1.01,1.11,1.01,1.08,1.08,1756290048
2018-02-13,1.08,1.08,1.01,1.03,1.03,921100032
2018-02-14,1.03,1.17,1.02,1.14,1.14,1457600000
2018-02-15,1.14,1.16,1.11,1.15,1.15,1188530048
2018-02-16,1.14,1.15,1.11,1.14,1.14,568339008
2018-02-17,1.14,1.22,1.13,1.2,1.2,1186729984
2018-02-18,1.2,1.21,1.09,1.12,1.12,1113650048
2018-02-19,1.12,1.17,1.12,1.14,1.14,556304000
2018-02-20,1.14,1.17,1.08,1.09,1.09,806673024
2018-02-21,1.08,1.1,1.0,1.02,1.02,871526016
2018-02-22,1.01,1.05,0.92,0.94,0.94,889707008
2018-02-23,0.93,1.03,0.9,1.0,1.0,896403968
2018-02-24,1.0,1.01,0.93,0.95,0.95,489920000
2018-02-25,0.95,0.97,0.92,0.94,0.94,360271008
2018-02-26,0.94,0.97,0.91,0.96,0.96,458612992
2018-02-27,0.96,0.97,0.94,0.95,0.95,312712992
2018-02-28,0.94,0.96,0.9,0.9,0.9,329529984
2018-03-01,0.9,0.95,0.89,0.93,0.93,475256992
2018-03-02,0.93,0.93,0.9,0.91,0.91,271036000
2018-03-03,0.91,0.93,0.9,0.91,0.91,280852992
2018-03-04,0.91,1.03,0.9,1.01,1.01,797225984
2018-03-05,1.01,1.08,0.96,0.96,0.96,1706819968
2018-03-06,0.95,0.99,0.92,0.92,0.92,875180032
2018-03-07,0.92,0.93,0.82,0.87,0.87,809598016
2018-03-08,0.87,0.89,0.83,0.83,0.83,499496000
2018-03-09,0.83,0.86,0.75,0.85,0.85,989203008
2018-03-10,0.85,0.86,0.79,0.8,0.8,402670016
